phase,lon,lat,mean_anomaly
Early,0,-90,1.0465514279023738
Early,0,-87.5,1.1412402968233033
Early,0,-85,1.1220241801924893
Early,0,-82.5,1.492326691929328
Early,0,-80,2.0758987865196374
Early,0,-77.5,4.029362639473608
Early,0,-75,2.987281160551891
Early,0,-72.5,6.03371518030499
Early,0,-70,6.078773395717763
Early,0,-67.5,6.035946330052488
Early,0,-65,5.865285159959052
Early,0,-62.5,4.505403938646108
Early,0,-60,4.344281138699498
Early,0,-57.5,3.725639504242028
Early,0,-55,-0.6282597282711506
Early,0,-52.5,-4.564580963906698
Early,0,-50,-6.332610774666939
Early,0,-47.5,-9.65435753255134
Early,0,-45,-11.611467613202947
Early,0,-42.5,-7.788532684775769
Early,0,-40,0.5693615052171268
Early,0,-37.5,7.880229716819095
Early,0,-35,9.554262276248377
Early,0,-32.5,9.083400262907158
Early,0,-30,8.311980805092952
Early,0,-27.5,5.678179024082045
Early,0,-25,4.766732541461118
Early,0,-22.5,3.5784235665770594
Early,0,-20,3.070551812738421
Early,0,-17.5,3.3397269849366635
Early,0,-15,-0.0059356219935502
Early,0,-12.5,-4.583605430899547
Early,0,-10,-5.208710812789956
Early,0,-7.5,-2.8409011711689587
Early,0,-5,-3.4368760124136157
Early,0,-2.5,-7.532823890395872
Early,0,0,-8.859708158403244
Early,0,2.5,-5.14253839216791
Early,0,5,-8.041012384789319
Early,0,7.5,-11.330889669717026
Early,0,10,-10.852601540533824
Early,0,12.5,2.043236237755732
Early,0,15,10.571988378356812
Early,0,17.5,12.585684021391918
Early,0,20,8.999976283998102
Early,0,22.5,10.059943263118393
Early,0,25,14.060904404004415
Early,0,27.5,11.588545379959717
Early,0,30,4.579378899785637
Early,0,32.5,1.5403698260645242
Early,0,35,0.8334894255464128
Early,0,37.5,4.892992602776306
Early,0,40,5.0144421072831555
Early,0,42.5,0.8478335784531182
Early,0,45,-4.7753405782462925
Early,0,47.5,-6.069102853678435
Early,0,50,-3.792496563411374
Early,0,52.5,-0.07090189447217057
Early,0,55,2.9032581605507417
Early,0,57.5,5.946664362269409
Early,0,60,5.816204335004036
Early,0,62.5,6.259856505539985
Early,0,65,7.013551707079928
Early,0,67.5,5.748582358193173
Early,0,70,6.230156662816023
Early,0,72.5,4.339370036940097
Early,0,75,4.841524043038382
Early,0,77.5,5.859005768749075
Early,0,80,7.26040188879308
Early,0,82.5,7.663051466723119
Early,0,85,7.012346718958004
Early,0,87.5,5.281055741061495
Early,0,90,2.43061354846871
Early,2.5,-90,1.0466488594610504
Early,2.5,-87.5,1.1522071594287011
Early,2.5,-85,1.2384168739496197
Early,2.5,-82.5,1.5634325279455954
Early,2.5,-80,2.113964691079823
Early,2.5,-77.5,3.89877339267586
Early,2.5,-75,1.768104926552204
Early,2.5,-72.5,5.903008277683256
Early,2.5,-70,6.3834354990410125
Early,2.5,-67.5,6.658969181635006
Early,2.5,-65,6.507284842812162
Early,2.5,-62.5,5.261394221235727
Early,2.5,-60,5.367552168602665
Early,2.5,-57.5,4.610759451741204
Early,2.5,-55,-0.243170358383982
Early,2.5,-52.5,-5.761052719145171
Early,2.5,-50,-9.434232335717347
Early,2.5,-47.5,-13.346234939330696
Early,2.5,-45,-14.335644135301475
Early,2.5,-42.5,-9.915104226514133
Early,2.5,-40,-0.6690597687319496
Early,2.5,-37.5,7.995972345631154
Early,2.5,-35,11.685182784107077
Early,2.5,-32.5,11.875014098837125
Early,2.5,-30,9.317475355684468
Early,2.5,-27.5,4.483996623320424
Early,2.5,-25,2.4593092394115352
Early,2.5,-22.5,2.366966605406507
Early,2.5,-20,2.5891245477153304
Early,2.5,-17.5,0.48702517612905966
Early,2.5,-15,-3.8485754030662562
Early,2.5,-12.5,-7.2842601497754895
Early,2.5,-10,-6.563858624684643
Early,2.5,-7.5,-2.9727674820891012
Early,2.5,-5,-3.44157060168738
Early,2.5,-2.5,-7.480590998612415
Early,2.5,0,-9.942428650827438
Early,2.5,2.5,-7.803812151060244
Early,2.5,5,-8.525762242288122
Early,2.5,7.5,-9.151404609873683
Early,2.5,10,-6.812862097396442
Early,2.5,12.5,3.324409914742266
Early,2.5,15,10.576504648289486
Early,2.5,17.5,10.48450485828924
Early,2.5,20,7.358149136271052
Early,2.5,22.5,7.612653330547899
Early,2.5,25,10.841542301866772
Early,2.5,27.5,11.429483583356708
Early,2.5,30,6.3341264150698215
Early,2.5,32.5,3.371244468265849
Early,2.5,35,3.2550970887643444
Early,2.5,37.5,6.308276497825191
Early,2.5,40,4.803090942695629
Early,2.5,42.5,1.8633902094513437
Early,2.5,45,-1.8103731672664047
Early,2.5,47.5,-2.957941597801367
Early,2.5,50,-1.9065038895643724
Early,2.5,52.5,0.8540896227760918
Early,2.5,55,3.4108947119393536
Early,2.5,57.5,6.4445731543127645
Early,2.5,60,5.859009861196482
Early,2.5,62.5,6.0397934193085945
Early,2.5,65,7.48369048418408
Early,2.5,67.5,6.49974795561546
Early,2.5,70,5.70439097901833
Early,2.5,72.5,3.841778139000958
Early,2.5,75,4.703392852297414
Early,2.5,77.5,6.076585339300559
Early,2.5,80,7.2417637668190915
Early,2.5,82.5,7.586231024131549
Early,2.5,85,6.9160061121964755
Early,2.5,87.5,5.2455468464569375
Early,2.5,90,2.4320547190427937
Early,5,-90,1.0463003722088848
Early,5,-87.5,1.1530169126628729
Early,5,-85,1.3077233881186907
Early,5,-82.5,1.591839436855496
Early,5,-80,1.9591225627658404
Early,5,-77.5,3.5432663626895096
Early,5,-75,0.854674747773005
Early,5,-72.5,5.246941281579561
Early,5,-70,6.409345176775526
Early,5,-67.5,7.128898949980919
Early,5,-65,7.119677706554559
Early,5,-62.5,6.233186781263919
Early,5,-60,6.1765054054183155
Early,5,-57.5,4.669708004953183
Early,5,-55,-0.5873796339328706
Early,5,-52.5,-7.339924015510556
Early,5,-50,-12.683771784338788
Early,5,-47.5,-16.646737241589882
Early,5,-45,-16.70436673773043
Early,5,-42.5,-11.181894944199643
Early,5,-40,-1.4893405503197301
Early,5,-37.5,9.921973700506305
Early,5,-35,15.34354912528259
Early,5,-32.5,14.129791527155202
Early,5,-30,7.3607326743228185
Early,5,-27.5,2.0289076571335736
Early,5,-25,1.4598059981597415
Early,5,-22.5,2.0451117430082406
Early,5,-20,1.2447676743005787
Early,5,-17.5,-3.2863541821853746
Early,5,-15,-7.070050679086197
Early,5,-12.5,-9.019122123345799
Early,5,-10,-7.882843970057684
Early,5,-7.5,-5.0190167691884415
Early,5,-5,-5.470801540906056
Early,5,-2.5,-7.874419883865462
Early,5,0,-9.122211162700664
Early,5,2.5,-9.35321046943785
Early,5,5,-8.772604364822362
Early,5,7.5,-5.147668583929601
Early,5,10,-1.3665729834077234
Early,5,12.5,6.114341167666398
Early,5,15,10.157069591696825
Early,5,17.5,8.11211610164311
Early,5,20,4.607206557250033
Early,5,22.5,4.178938769039587
Early,5,25,5.313731689837715
Early,5,27.5,9.9436056381437
Early,5,30,5.998007435467156
Early,5,32.5,4.765788101330915
Early,5,35,7.257582279812916
Early,5,37.5,6.7274358195772725
Early,5,40,4.693346090364013
Early,5,42.5,2.004106232510627
Early,5,45,-1.59440434632144
Early,5,47.5,-2.3679037697263157
Early,5,50,-1.0144676973975784
Early,5,52.5,0.7782681879043188
Early,5,55,3.2088927952959354
Early,5,57.5,5.676130988583196
Early,5,60,5.720399791752516
Early,5,62.5,6.232341409075918
Early,5,65,7.383273790507633
Early,5,67.5,6.886130726542599
Early,5,70,5.273264266551796
Early,5,72.5,3.3414861698511715
Early,5,75,4.581678945225309
Early,5,77.5,6.315189524998445
Early,5,80,7.221565039883391
Early,5,82.5,7.519514870411811
Early,5,85,6.806604248408235
Early,5,87.5,5.200909650529459
Early,5,90,2.432164087032416
Early,7.5,-90,1.0465429529488963
Early,7.5,-87.5,1.146426322327619
Early,7.5,-85,1.3334122281997705
Early,7.5,-82.5,1.611265848393669
Early,7.5,-80,1.5927163368910682
Early,7.5,-77.5,3.075971273368455
Early,7.5,-75,0.43430970225264065
Early,7.5,-72.5,4.419877243133403
Early,7.5,-70,6.258469396160171
Early,7.5,-67.5,7.549927938990795
Early,7.5,-65,7.678221699309828
Early,7.5,-62.5,6.931637241412943
Early,7.5,-60,6.299046092837637
Early,7.5,-57.5,3.43132969177015
Early,7.5,-55,-1.9519990448068398
Early,7.5,-52.5,-8.994404184004804
Early,7.5,-50,-15.002931198780704
Early,7.5,-47.5,-19.261653115387404
Early,7.5,-45,-17.92977101648663
Early,7.5,-42.5,-11.559819352970248
Early,7.5,-40,-0.9139942940744319
Early,7.5,-37.5,12.5649401487014
Early,7.5,-35,18.414923062902986
Early,7.5,-32.5,13.76840161954151
Early,7.5,-30,4.548710677934318
Early,7.5,-27.5,-0.15998676421388253
Early,7.5,-25,0.19862804745935705
Early,7.5,-22.5,0.4340133674356409
Early,7.5,-20,-2.1432254467517233
Early,7.5,-17.5,-7.337014737142363
Early,7.5,-15,-9.92113976413414
Early,7.5,-12.5,-9.302444979546546
Early,7.5,-10,-7.186458239688195
Early,7.5,-7.5,-5.614472379524372
Early,7.5,-5,-7.212708144054437
Early,7.5,-2.5,-7.765177010779071
Early,7.5,0,-6.416057834520289
Early,7.5,2.5,-8.81799039152297
Early,7.5,5,-9.320156828529047
Early,7.5,7.5,-3.5682241212701222
Early,7.5,10,0.508464043972598
