phase,lon,lat,mean_anomaly
Early,0,-90,-0.051933580660209
Early,0,-87.5,-0.1801326125752881
Early,0,-85,-0.36024228299684713
Early,0,-82.5,-0.425128826160765
Early,0,-80,-0.695366357098648
Early,0,-77.5,-1.3014286046154167
Early,0,-75,-1.712930439576527
Early,0,-72.5,-1.1515477796482565
Early,0,-70,-0.10056660187721246
Early,0,-67.5,-2.6460636781262705
Early,0,-65,-4.6501329948329495
Early,0,-62.5,-4.695542986329886
Early,0,-60,-4.106580248942929
Early,0,-57.5,-3.7282256156573896
Early,0,-55,-2.454239823819534
Early,0,-52.5,-0.48744372140204134
Early,0,-50,3.6442668256987165
Early,0,-47.5,11.124651707915898
Early,0,-45,15.05401296808058
Early,0,-42.5,12.129808604875375
Early,0,-40,3.9278874319712482
Early,0,-37.5,-4.301215005261964
Early,0,-35,-7.753145109422661
Early,0,-32.5,-6.033201878773974
Early,0,-30,-3.048719679450045
Early,0,-27.5,-1.4794609002740344
Early,0,-25,-3.936556701170107
Early,0,-22.5,-6.959614566981907
Early,0,-20,-8.88202091995933
Early,0,-17.5,-10.215228077347993
Early,0,-15,-9.858378419079456
Early,0,-12.5,-7.019191778317751
Early,0,-10,-3.7239538569174178
Early,0,-7.5,-0.7833589787082283
Early,0,-5,0.9417062814307717
Early,0,-2.5,1.3319041888817367
Early,0,0,2.9866318521927306
Early,0,2.5,6.749134635115518
Early,0,5,11.08210047996114
Early,0,7.5,11.81471403586286
Early,0,10,12.816252447170404
Early,0,12.5,8.294402092223647
Early,0,15,1.4369600224635095
Early,0,17.5,-1.5180174687574168
Early,0,20,-2.653926054534981
Early,0,22.5,-2.972257440212225
Early,0,25,-6.777083316589725
Early,0,27.5,-7.175065053298919
Early,0,30,-0.4474103414759074
Early,0,32.5,3.2279945596784563
Early,0,35,5.133278912700242
Early,0,37.5,3.4542367663139903
Early,0,40,2.058139127132187
Early,0,42.5,5.129180783651517
Early,0,45,9.428349134700126
Early,0,47.5,11.936606732779019
Early,0,50,11.537440877513376
Early,0,52.5,8.229119517495208
Early,0,55,2.220817408963614
Early,0,57.5,-0.6874941154009815
Early,0,60,-1.3446034471835386
Early,0,62.5,-3.4730601468344533
Early,0,65,-2.9349326926101984
Early,0,67.5,0.024245414462908545
Early,0,70,4.009622613828849
Early,0,72.5,8.51236142144735
Early,0,75,6.622038610331184
Early,0,77.5,2.923534860564698
Early,0,80,-0.6798976953550129
Early,0,82.5,-2.4968848265058736
Early,0,85,-3.798881669041898
Early,0,87.5,-4.864025156304894
Early,0,90,-4.698922871945118
Early,2.5,-90,-0.052025024805967664
Early,2.5,-87.5,-0.17164134650477217
