phase,lon,lat,mean_anomaly
Early,0,-90,-0.9790377730441022
Early,0,-87.5,-0.9070679004754284
Early,0,-85,-0.653709212296588
Early,0,-82.5,-0.9396592179203347
Early,0,-80,-1.1719225222913938
Early,0,-77.5,-2.337505453473565
Early,0,-75,-0.7604715891024063
Early,0,-72.5,-4.5367030667622545
Early,0,-70,-5.948036813277393
Early,0,-67.5,-2.596063548488343
Early,0,-65,0.17988773332377547
Early,0,-62.5,1.5988019435827656
Early,0,-60,0.994273184926324
Early,0,-57.5,1.1210537961125744
Early,0,-55,3.818771499236584
Early,0,-52.5,5.1982578017293495
Early,0,-50,1.5950639012586536
Early,0,-47.5,-4.8076896877392885
Early,0,-45,-7.958749245301769
Early,0,-42.5,-7.980218501562308
Early,0,-40,-5.675615166779734
Early,0,-37.5,-2.2886502099786186
Early,0,-35,0.5248263660011446
Early,0,-32.5,-1.2402378205009867
Early,0,-30,-4.348645221807894
Early,0,-27.5,-3.7548798537257553
Early,0,-25,0.35079117005998484
Early,0,-22.5,5.469075370499461
Early,0,-20,8.476075383208737
Early,0,-17.5,9.940069515615713
Early,0,-15,12.821827566796834
Early,0,-12.5,13.70855474271258
Early,0,-10,10.049850826782608
Early,0,-7.5,3.859267843489653
Early,0,-5,2.212657846553621
Early,0,-2.5,5.801348444849671
Early,0,0,4.977086750552665
Early,0,2.5,-3.63133663348225
Early,0,5,-6.36571823916012
Early,0,7.5,-4.028238576904725
Early,0,10,-5.808526640787745
Early,0,12.5,-12.825958957646485
Early,0,15,-12.440036407559386
Early,0,17.5,-10.612261312007266
Early,0,20,-5.549872413102612
Early,0,22.5,-6.196008590842503
Early,0,25,-5.2506960924377575
Early,0,27.5,-2.2609608106711043
Early,0,30,-3.9977454558669807
Early,0,32.5,-5.736762753646525
Early,0,35,-7.506752012056692
Early,0,37.5,-9.383500398984502
Early,0,40,-7.690022972555012
Early,0,42.5,-7.515768597200077
Early,0,45,-7.481513296863882
Early,0,47.5,-9.448485898934294
Early,0,50,-11.206176577356032
Early,0,52.5,-10.626953478271563
Early,0,55,-5.7903207922034605
Early,0,57.5,-5.052922012248115
Early,0,60,-4.0682198536654735
Early,0,62.5,-1.7448783146551499
Early,0,65,-3.1981392066866547
Early,0,67.5,-5.780101396994949
Early,0,70,-11.442666060793531
Early,0,72.5,-15.405439884821659
Early,0,75,-13.450174236468925
Early,0,77.5,-9.659601087483187
Early,0,80,-6.376534884831555
Early,0,82.5,-4.417101192265473
Early,0,85,-2.0738005492035247
Early,0,87.5,1.0421769621348766
Early,0,90,3.6779861850599493
Early,2.5,-90,-0.9790163272132926
Early,2.5,-87.5,-0.9290734089724977
Early,2.5,-85,-0.7810902765222477
Early,2.5,-82.5,-1.1350094959706984
Early,2.5,-80,-1.2822506529066968
Early,2.5,-77.5,-2.5403990667055174
Early,2.5,-75,-0.3847218664759509
Early,2.5,-72.5,-4.437210832303331
Early,2.5,-70,-6.6739894100771515
Early,2.5,-67.5,-3.326548103709295
Early,2.5,-65,-0.7976723885494472
Early,2.5,-62.5,0.459415829722224
Early,2.5,-60,-0.6572978748576652
Early,2.5,-57.5,0.20291984388919104
Early,2.5,-55,3.6266358125430633
Early,2.5,-52.5,5.709314806900252
Early,2.5,-50,1.4905220438924318
Early,2.5,-47.5,-5.40595299248248
Early,2.5,-45,-7.576220442156206
Early,2.5,-42.5,-5.635834795494256
Early,2.5,-40,-2.475523000571866
Early,2.5,-37.5,0.1332491024138406
Early,2.5,-35,1.3192715310705794
Early,2.5,-32.5,-1.7133147231431416
Early,2.5,-30,-2.9841197618090605
Early,2.5,-27.5,-0.820636750248395
Early,2.5,-25,1.6538147603549411
Early,2.5,-22.5,5.0904114193853465
Early,2.5,-20,7.529319524776959
Early,2.5,-17.5,10.465061792743725
Early,2.5,-15,14.28445780482735
Early,2.5,-12.5,14.638443177171506
Early,2.5,-10,10.252286513850455
Early,2.5,-7.5,2.6525760762627684
Early,2.5,-5,-0.9701813177005392
Early,2.5,-2.5,0.4967501594820817
Early,2.5,0,1.4736815032844888
Early,2.5,2.5,-1.5109696447462724
Early,2.5,5,-3.6547140853643194
Early,2.5,7.5,-4.577031458427899
Early,2.5,10,-9.095031092989284
Early,2.5,12.5,-15.175150767505333
Early,2.5,15,-13.047307226757058
Early,2.5,17.5,-11.924877084324985
Early,2.5,20,-6.361000297511694
Early,2.5,22.5,-4.909353305427937
Early,2.5,25,-4.976882983338365
Early,2.5,27.5,-2.338318684305939
Early,2.5,30,-3.1730234820571526
Early,2.5,32.5,-4.8440001244063335
Early,2.5,35,-7.776474264138903
Early,2.5,37.5,-11.545624707459275
Early,2.5,40,-8.044599564139324
Early,2.5,42.5,-7.381432108438321
Early,2.5,45,-8.942400749680385
Early,2.5,47.5,-10.507720228908937
Early,2.5,50,-12.082519445240079
Early,2.5,52.5,-12.645184448012712
Early,2.5,55,-7.806431840395964
Early,2.5,57.5,-6.152983258955721
Early,2.5,60,-4.688554027534544
Early,2.5,62.5,-1.6023387559466429
Early,2.5,65,-3.0447016351181695
Early,2.5,67.5,-5.5096209536992085
Early,2.5,70,-10.599840315994307
Early,2.5,72.5,-14.929176926023318
Early,2.5,75,-13.336465070966518
Early,2.5,77.5,-9.826252628068112
Early,2.5,80,-6.411747523519746
Early,2.5,82.5,-4.289828672345273
Early,2.5,85,-1.895871799509189
Early,2.5,87.5,1.1554494491179559
Early,2.5,90,3.6833107009921524
Early,5,-90,-0.9790491928814786
Early,5,-87.5,-0.9453359381826354
Early,5,-85,-0.8549426811257813
Early,5,-82.5,-1.2333699586443923
Early,5,-80,-1.1506239601496793
Early,5,-77.5,-2.513602889839732
Early,5,-75,-0.10165202168879749
Early,5,-72.5,-3.7375304737896653
Early,5,-70,-7.16554789540283
Early,5,-67.5,-3.963599552944471
Early,5,-65,-1.780411286636097
Early,5,-62.5,-0.7430220278989396
Early,5,-60,-1.8865768086854218
Early,5,-57.5,-0.2722125271020346
Early,5,-55,3.654277439387017
Early,5,-52.5,6.0684957331264044
Early,5,-50,1.4334648365798344
Early,5,-47.5,-5.984413393849311
Early,5,-45,-6.795715541034414
Early,5,-42.5,-2.8559412048535364
Early,5,-40,1.1569483031743062
Early,5,-37.5,1.82910805131704
Early,5,-35,1.0405952002519299
Early,5,-32.5,-2.805185249033626
Early,5,-30,-1.2793440977641062
Early,5,-27.5,1.426231370733469
Early,5,-25,1.8944179398111758
Early,5,-22.5,4.1566501541720005
Early,5,-20,7.505879942680433
Early,5,-17.5,11.67929909611416
Early,5,-15,13.69152577429783
Early,5,-12.5,12.466698258377827
Early,5,-10,7.972937803752269
Early,5,-7.5,1.858413116586442
Early,5,-5,-1.6292608600293257
Early,5,-2.5,-1.0737949762912558
Early,5,0,1.1309887604462765
