phase,lon,lat,mean_anomaly
Early,-177.5,-90,0.9506777370477948
Early,-177.5,-87.5,0.7182451042679417
Early,-177.5,-85,1.5089198517434057
Early,-177.5,-82.5,1.6363226213749953
Early,-177.5,-80,2.134401449983801
Early,-177.5,-77.5,2.3447189882698978
Early,-177.5,-75,2.0272429130009413
Early,-177.5,-72.5,1.3101783235581137
Early,-177.5,-70,0.5991693629847475
Early,-177.5,-67.5,0.335743018898745
Early,-177.5,-65,0.14037500000006845
Early,-177.5,-62.5,-0.12214431410886846
Early,-177.5,-60,-0.46785017106550414
Early,-177.5,-57.5,-0.7266868198114252
Early,-177.5,-55,-0.827404928315184
Early,-177.5,-52.5,-0.8622092375362115
Early,-177.5,-50,-0.8382992098398404
Early,-177.5,-47.5,-0.7392594574782436
Early,-177.5,-45,-0.5206406321280156
Early,-177.5,-42.5,-0.3328829749105694
Early,-177.5,-40,-0.3141914467253912
Early,-177.5,-37.5,-0.3945823802544396
Early,-177.5,-35,-0.43077880417046116
Early,-177.5,-32.5,-0.41454990224952437
Early,-177.5,-30,-0.41708304822408876
Early,-177.5,-27.5,-0.4078476050831796
Early,-177.5,-25,-0.3400471570540219
Early,-177.5,-22.5,-0.24970150700615362
Early,-177.5,-20,-0.20766550179203022
Early,-177.5,-17.5,-0.19963926360313167
Early,-177.5,-15,-0.2044107526890116
Early,-177.5,-12.5,-0.2315273134571271
Early,-177.5,-10,-0.2545205767351774
Early,-177.5,-7.5,-0.27247632779346986
Early,-177.5,-5,-0.29884741772501683
Early,-177.5,-2.5,-0.31469239980452246
Early,-177.5,0,-0.3251947947224153
Early,-177.5,2.5,-0.33346706581958757
Early,-177.5,5,-0.3052692815252612
Early,-177.5,7.5,-0.27236950961235495
Early,-177.5,10,-0.2601569077881038
Early,-177.5,12.5,-0.27974986151849635
Early,-177.5,15,-0.3222432958622335
Early,-177.5,17.5,-0.366054015966057
Early,-177.5,20,-0.4134291707402838
Early,-177.5,22.5,-0.4550608830231283
Early,-177.5,25,-0.49935482241712065
Early,-177.5,27.5,-0.5285721651999495
Early,-177.5,30,-0.501671252851662
Early,-177.5,32.5,-0.3888085043991964
Early,-177.5,35,-0.2656246985996177
Early,-177.5,37.5,-0.18126480938333317
