phase,lon,lat,mean_anomaly
Early,-177.5,-90,-0.9295519775925833
Early,-177.5,-87.5,-0.9459763390728907
Early,-177.5,-85,-0.9523804170739953
Early,-177.5,-82.5,-1.346062717748011
Early,-177.5,-80,-1.6564875491892683
Early,-177.5,-77.5,-1.52326515151506
Early,-177.5,-75,-1.1102955485373864
Early,-177.5,-72.5,-0.6808818708173808
Early,-177.5,-70,-0.40561870566707864
Early,-177.5,-67.5,-0.2127198222923163
Early,-177.5,-65,-0.19239516129032644
Early,-177.5,-62.5,-0.19002239516755884
Early,-177.5,-60,-0.02122471614403419
Early,-177.5,-57.5,0.16967575256299702
Early,-177.5,-55,0.43499434794561537
Early,-177.5,-52.5,0.7074310850434201
Early,-177.5,-50,0.9231381557510802
Early,-177.5,-47.5,1.0963778667567725
Early,-177.5,-45,1.1699340990553624
Early,-177.5,-42.5,1.1897812930799756
Early,-177.5,-40,1.1873427137383339
Early,-177.5,-37.5,1.1539238852545588
Early,-177.5,-35,1.0129669774667387
Early,-177.5,-32.5,0.8060775998202897
Early,-177.5,-30,0.6328455084344393
Early,-177.5,-27.5,0.4492392849087773
Early,-177.5,-25,0.22812672632037098
Early,-177.5,-22.5,0.012920225832050828
Early,-177.5,-20,-0.09670237110601385
Early,-177.5,-17.5,-0.10638996666440684
Early,-177.5,-15,-0.07114019851066516
Early,-177.5,-12.5,-0.02802849211713447
Early,-177.5,-10,0.0031751635460182115
Early,-177.5,-7.5,0.025305599418883364
Early,-177.5,-5,0.04218151114067636
Early,-177.5,-2.5,0.06286010226400898
Early,-177.5,0,0.07979368749556233
Early,-177.5,2.5,0.10341231796868354
Early,-177.5,5,0.09409955635777141
Early,-177.5,7.5,0.06908625961778643
Early,-177.5,10,0.05908465548790131
Early,-177.5,12.5,0.03829651978870393
Early,-177.5,15,0.009068676843875996
Early,-177.5,17.5,-0.05068116650406077
Early,-177.5,20,-0.11586723939108896
Early,-177.5,22.5,-0.18720823620866264
Early,-177.5,25,-0.2579386106724979
Early,-177.5,27.5,-0.2843815324462272
Early,-177.5,30,-0.26694476401661404
Early,-177.5,32.5,-0.20279440183443634
Early,-177.5,35,-0.10562329247799723
Early,-177.5,37.5,0.05409681178969969
Early,-177.5,40,0.23751521417612872
Early,-177.5,42.5,0.35694719527728797
Early,-177.5,45,0.37571659523327455
Early,-177.5,47.5,0.2673990149636788
Early,-177.5,50,0.08393858560785142
Early,-177.5,52.5,-0.004699156578480002
Early,-177.5,55,-0.012367383512902017
Early,-177.5,57.5,-0.09887688923938989
Early,-177.5,60,-0.13967869764635366
Early,-177.5,62.5,-0.08579883825887272
Early,-177.5,65,-0.020747737925511538
Early,-177.5,67.5,0.03327519613010456
Early,-177.5,70,0.076375090859183
Early,-177.5,72.5,0.25386337945141474
Early,-177.5,75,0.5609947677767283
Early,-177.5,77.5,0.8227829661376955
Early,-177.5,80,0.988664987342527
Early,-177.5,82.5,1.151383631601758
Early,-177.5,85,1.3138196167633613
Early,-177.5,87.5,1.3632114068726258
Early,-177.5,90,1.3299792089634497
Early,-175,-90,-0.9295519775925833
Early,-175,-87.5,-0.9216477868013638
Early,-175,-85,-0.9139244680049676
Early,-175,-82.5,-1.307880454671026
Early,-175,-80,-1.6163765571345414
Early,-175,-77.5,-1.5067603516554169
Early,-175,-75,-1.074560374213508
Early,-175,-72.5,-0.6362786988996382
Early,-175,-70,-0.3740115296890193
Early,-175,-67.5,-0.20506044314117405
Early,-175,-65,-0.17251180539886946
Early,-175,-62.5,-0.15444713888267905
Early,-175,-60,0.004315261799145167
Early,-175,-57.5,0.19909066471176665
Early,-175,-55,0.4723578213895945
Early,-175,-52.5,0.7587742248793286
Early,-175,-50,0.9829832192894383
Early,-175,-47.5,1.1558952051535174
Early,-175,-45,1.240181260496268
Early,-175,-42.5,1.2512969521512742
Early,-175,-40,1.2138881244203548
Early,-175,-37.5,1.1598299809514943
Early,-175,-35,1.0151349474897546
Early,-175,-32.5,0.7975980587513137
Early,-175,-30,0.6180246697744521
Early,-175,-27.5,0.43732139007948506
Early,-175,-25,0.21198370804800193
Early,-175,-22.5,0.0021596673935715236
Early,-175,-20,-0.09660059653643972
Early,-175,-17.5,-0.09983985011391584
Early,-175,-15,-0.055205704689613486
Early,-175,-12.5,-0.006918747023274381
Early,-175,-10,0.01961520289701359
Early,-175,-7.5,0.043342344036016826
Early,-175,-5,0.05885698799443162
Early,-175,-2.5,0.07946794871799057
Early,-175,0,0.0987580770481556
Early,-175,2.5,0.11479490939110694
Early,-175,5,0.1103750219315141
Early,-175,7.5,0.0919895167564671
Early,-175,10,0.080513597513743207
Early,-175,12.5,0.058696161365932
Early,-175,15,0.03064368874856882
Early,-175,17.5,-0.029110678748102494
Early,-175,20,-0.1003562611225124
Early,-175,22.5,-0.17305019800986743
Early,-175,25,-0.2452281499859973
Early,-175,27.5,-0.2764373010507134
Early,-175,30,-0.27481196581297457
Early,-175,32.5,-0.22488950297108745
Early,-175,35,-0.13200077700066862
Early,-175,37.5,0.025291676065828248
Early,-175,40,0.2038221106847424
Early,-175,42.5,0.307653695766585
Early,-175,45,0.3246449670391747
Early,-175,47.5,0.1988025227459196
Early,-175,50,-0.004604105571629064
Early,-175,52.5,-0.038695396897222824
Early,-175,55,0.035632666615557494
Early,-175,57.5,-0.0045810963232934925
Early,-175,60,-0.051435665588738945
Early,-175,62.5,-0.05219116725593354
Early,-175,65,-0.03398345740298335
Early,-175,67.5,0.012514368248092139
Early,-175,70,0.07877582901008176
Early,-175,72.5,0.26033196731489083
Early,-175,75,0.566410438128816
Early,-175,77.5,0.8482034739455195
Early,-175,80,1.0291023197224787
Early,-175,82.5,1.1861815048758375
Early,-175,85,1.33404130636427
Early,-175,87.5,1.3704515377100916
Early,-175,90,1.3299792089634497
Early,-172.5,-90,-0.9295519775925833
Early,-172.5,-87.5,-0.8993529839336991
Early,-172.5,-85,-0.8764799045042344
Early,-172.5,-82.5,-1.2598381394591387
Early,-172.5,-80,-1.5659506040553965
Early,-172.5,-77.5,-1.4580848622702547
Early,-172.5,-75,-1.0194701731959719
Early,-172.5,-72.5,-0.5956150525102413
Early,-172.5,-70,-0.35751164874553665
Early,-172.5,-67.5,-0.23574240544395655
Early,-172.5,-65,-0.18502737674507094
Early,-172.5,-62.5,-0.15153266536326818
Early,-172.5,-60,-0.002125905456475371
Early,-172.5,-57.5,0.20202223224821672
Early,-172.5,-55,0.49246910795275983
Early,-172.5,-52.5,0.8090763340602464
Early,-172.5,-50,1.0587261197577942
Early,-172.5,-47.5,1.2410465072567263
Early,-172.5,-45,1.3296254229641222
Early,-172.5,-42.5,1.317456256109031
Early,-172.5,-40,1.2350278091090077
Early,-172.5,-37.5,1.1523102802220864
Early,-172.5,-35,0.9965618154245135
Early,-172.5,-32.5,0.7716134107822086
Early,-172.5,-30,0.5808785873624323
Early,-172.5,-27.5,0.3946242637284478
Early,-172.5,-25,0.18098746772992713
Early,-172.5,-22.5,-0.0032342594676212965
Early,-172.5,-20,-0.08213083063889406
Early,-172.5,-17.5,-0.08989901496383149
Early,-172.5,-15,-0.04785223199695128
Early,-172.5,-12.5,0.008719107953420636
Early,-172.5,-10,0.03203614933454883
Early,-172.5,-7.5,0.05801185552796649
Early,-172.5,-5,0.07749731809457654
Early,-172.5,-2.5,0.09208844649993335
Early,-172.5,0,0.10788255382620421
