phase,lon,lat,mean_anomaly
Early,-177.5,-90,0.25773983382282495
Early,-177.5,-87.5,0.5115241365269526
Early,-177.5,-85,-0.2708253095471946
Early,-177.5,-82.5,0.11355891169734492
Early,-177.5,-80,0.019032363962253385
Early,-177.5,-77.5,-0.36447429130016074
Early,-177.5,-75,-0.5838586999022539
Early,-177.5,-72.5,-0.42503189149554144
Early,-177.5,-70,-0.07186504561749985
Early,-177.5,-67.5,-0.05920724991859174
Early,-177.5,-65,0.10973870967745256
Early,-177.5,-62.5,0.36917342782672335
Early,-177.5,-60,0.4954423020529248
Early,-177.5,-57.5,0.5061083414795065
Early,-177.5,-55,0.2619122759858158
Early,-177.5,-52.5,-0.057451173020120906
Early,-177.5,-50,-0.3617803926365298
Early,-177.5,-47.5,-0.6860317693053958
Early,-177.5,-45,-1.0002736966440353
Early,-177.5,-42.5,-1.2138327060935694
Early,-177.5,-40,-1.229354081134386
Early,-177.5,-37.5,-1.1055186705764413
Early,-177.5,-35,-0.8860782665364695
Early,-177.5,-32.5,-0.6333509775170342
Early,-177.5,-30,-0.40561611274059717
Early,-177.5,-27.5,-0.17616346529818544
Early,-177.5,-25,0.043482412837482796
Early,-177.5,-22.5,0.2329052134243625
Early,-177.5,-20,0.3333785842299733
Early,-177.5,-17.5,0.33794622026686055
Early,-177.5,-15,0.2968930107529843
Early,-177.5,-12.5,0.2679643532093678
Early,-177.5,-10,0.2503928641253367
Early,-177.5,-7.5,0.23957904854903517
Early,-177.5,-5,0.2440114532419841
Early,-177.5,-2.5,0.23297426686146422
Early,-177.5,0,0.22146300097808194
Early,-177.5,2.5,0.19903105246041833
Early,-177.5,5,0.18293985826023232
Early,-177.5,7.5,0.18255737210914164
Early,-177.5,10,0.1833468556538776
Early,-177.5,12.5,0.22996438579299933
Early,-177.5,15,0.31045401596525724
Early,-177.5,17.5,0.4319395324214213
Early,-177.5,20,0.5640565819486995
Early,-177.5,22.5,0.698431590094384
Early,-177.5,25,0.8346750162913906
Early,-177.5,27.5,0.8982681573800505
Early,-177.5,30,0.8486994460733399
Early,-177.5,32.5,0.6524412267837988
Early,-177.5,35,0.40293497882087764
