Phase,Lon,Lat,Mean_anomaly
Early,0,-68,0.005717891496378208
Early,0,-66,-0.005404786352232934
Early,0,-64,-0.022751096384230677
Early,0,-62,-0.06752958581164162
Early,0,-60,-0.08624736273483205
Early,0,-58,-0.10305840109576969
Early,0,-56,-0.12554649053475797
Early,0,-54,-0.14255490558686518
Early,0,-52,-0.18464021638278919
Early,0,-50,-0.1796252096727455
Early,0,-48,-0.15376136908720148
Early,0,-46,-0.13447820723473566
Early,0,-44,-0.08714219406768184
Early,0,-42,-0.013508200923323235
Early,0,-40,0.06209433384431263
Early,0,-38,0.1219405527715075
Early,0,-36,0.14499542707607746
Early,0,-34,0.14048131306965725
Early,0,-32,0.10272770550423246
Early,0,-30,0.050272781532126595
Early,0,-28,-0.010960047617376088
Early,0,-26,-0.07351131261367597
Early,0,-24,-0.11938462779794876
Early,0,-22,-0.14323293912660162
Early,0,-20,-0.14361551591566296
Early,0,-18,-0.13793374219419263
Early,0,-16,-0.13839393784672085
Early,0,-14,-0.13909552869819167
Early,0,-12,-0.1387988381730434
Early,0,-10,-0.12107011265966647
Early,0,-8,-0.10334807842761384
Early,0,-6,-0.08559745175021131
Early,0,-4,-0.06324443283615175
Early,0,-2,-0.034830755842869876
Early,0,0,-0.01476056203419787
Early,0,2,-0.016687880029220142
Early,0,4,-0.034398492399630574
Early,0,6,-0.045777363099145936
Early,0,38,0.3090068043528769
Early,0,40,0.3244338635798095
Early,0,52,0.26699787975747147
Early,0,56,0.20093023304617028
Early,0,58,0.16913045202935378
Early,0,60,0.12876541853506648
Early,0,62,0.0774905598246934
Early,0,64,0.03724537140283701
Early,0,66,0.002502289685335296
Early,0,68,-0.025819817900935002
Early,0,70,-0.040985470329408955
Early,0,72,-0.021865050831596435
Early,0,74,0.016419858365625945
Early,0,76,0.05025142264532881
Early,0,78,0.05371224692651486
Early,0,80,0.025273318474109595
Early,0,82,0
Early,0,84,0
Early,0,86,0
Early,0,88,0
Early,2,-70,2.4003026646595812e-4
Early,2,-68,-0.0036192204290893147
Early,2,-66,-0.007699556909241316
Early,2,-64,-0.026739519792836786
