Phase,Lon,Lat,Mean_anomaly
Early,0,-68,-0.008110925284299127
Early,0,-66,0.015752471938277526
Early,0,-64,0.021387454144881995
Early,0,-62,0.04764612262899279
Early,0,-60,0.048451004154754194
Early,0,-58,0.06804942686223607
Early,0,-56,0.07553145823379355
Early,0,-54,0.07470465379230912
Early,0,-52,0.10740038246819497
Early,0,-50,0.09747948718793494
Early,0,-48,0.08029249942663985
Early,0,-46,0.09329890337857358
Early,0,-44,0.11651598323475253
Early,0,-42,0.11861428636493451
Early,0,-40,0.11392671267191785
Early,0,-38,0.10081366625698758
Early,0,-36,0.06080010298527183
Early,0,-34,-0.004202238718671935
Early,0,-32,-0.06559994148486137
Early,0,-30,-0.11654318896207752
Early,0,-28,-0.1386831399166324
Early,0,-26,-0.12817003365719018
Early,0,-24,-0.09202927965105889
Early,0,-22,-0.035539956526328
Early,0,-20,0.012536152926357147
Early,0,-18,0.0519478393323574
Early,0,-16,0.07752439036514254
Early,0,-14,0.07733435775294488
Early,0,-12,0.07612465367172963
Early,0,-10,0.06193937243837162
Early,0,-8,0.05785527662797403
Early,0,-6,0.06657798940485193
Early,0,-4,0.06843856464732526
Early,0,-2,0.04828467513575045
Early,0,0,0.025490018093223734
Early,0,2,0.023731977289379105
Early,0,4,0.04816911870783045
Early,0,6,0.07010152701175816
Early,0,38,-0.2737841866233204
Early,0,40,-0.27880071726711886
Early,0,52,-0.32023312539765325
Early,0,56,-0.48982110312491245
Early,0,58,-0.4950474609028245
Early,0,60,-0.495297038916389
Early,0,62,-0.4923067157918709
Early,0,64,-0.490589515368143
Early,0,66,-0.472979315844448
Early,0,68,-0.4149442773876763
Early,0,70,-0.3208776856913702
Early,0,72,-0.23456569657181264
Early,0,74,-0.175825940478931
Early,0,76,-0.16124687086452136
Early,0,78,-0.17089875814589575
Early,0,80,-0.10735585093498212
Early,0,82,0
Early,0,84,0
Early,0,86,0
Early,0,88,0
Early,2,-70,-1.5601967320288956e-4
Early,2,-68,-0.0010813005042797743
Early,2,-66,0.020296890085394082
Early,2,-64,0.03926735547455849
Early,2,-62,0.06120356059435601
Early,2,-60,0.056115219042156744
Early,2,-58,0.0639753444402506
Early,2,-56,0.06505053342517583
Early,2,-54,0.06580395946900071
Early,2,-52,0.09458951877825118
Early,2,-50,0.08956988977663474
Early,2,-48,0.09748699809565631
Early,2,-46,0.1082231384335139
Early,2,-44,0.1262683117028452
Early,2,-42,0.1299986362457303
Early,2,-40,0.11833538575606495
Early,2,-38,0.09341693068995705
Early,2,-36,0.05273503101233601
Early,2,-34,-0.013379391756932792
Early,2,-32,-0.07564011487093278
Early,2,-30,-0.11969121875184764
Early,2,-28,-0.12859201431274805
Early,2,-26,-0.10685587507305208
Early,2,-24,-0.06575817628339635
Early,2,-22,-0.022453611547288154
Early,2,-20,0.018150930693671085
Early,2,-18,0.06279040827895503
Early,2,-16,0.08789934967502866
Early,2,-14,0.08295880808973877
Early,2,-12,0.08139933383825716
Early,2,-10,0.06684590252962669
Early,2,-8,0.058834110606796844
Early,2,-6,0.05263300520001532
Early,2,-4,0.03665686520662916
Early,2,-2,0.007384100827301411
Early,2,0,-0.01576421911067118
Early,2,2,-0.015998646707241625
Early,2,4,0.006950598052056199
Early,2,6,0.030386485475473547
Early,2,38,-0.28823980562615453
Early,2,40,-0.289788806799684
Early,2,52,-0.41164175380359236
Early,2,54,-0.45193524649649613
Early,2,56,-0.5026575666485448
Early,2,58,-0.5280791716142148
Early,2,60,-0.526935614239082
Early,2,62,-0.5081995003151181
Early,2,64,-0.48872177022876656
Early,2,66,-0.45956712130344346
Early,2,68,-0.39766042666001716
Early,2,70,-0.32011574615131655
Early,2,72,-0.23822000532439289
Early,2,74,-0.17363366141463804
Early,2,76,-0.14129708102255162
Early,2,78,-0.14967753589153254
Early,2,80,-0.05888038620804261
Early,2,82,0
Early,2,84,0
Early,2,86,0
Early,2,88,0
Early,4,-70,0
Early,4,-68,0.003327443563576882
Early,4,-66,0.046295547124112095
Early,4,-64,0.04653268582893146
