phase,lon,lat,UWIND
Early,-177.5,-90,-0.11732610156160676
Early,-177.5,-87.5,-0.43971703363595266
Early,-177.5,-85,-0.3360322182770458
Early,-177.5,-82.5,0.19480536786361788
Early,-177.5,-80,0.5645874532328666
Early,-177.5,-77.5,0.23531159600685375
Early,-177.5,-75,-0.6032814498812338
Early,-177.5,-72.5,-1.2472033495240635
Early,-177.5,-70,-1.2861545685710525
Early,-177.5,-67.5,-0.9786317680304188
Early,-177.5,-65,-0.7933585107211969
Early,-177.5,-62.5,-0.8037051025569926
Early,-177.5,-60,-0.7312604852312575
Early,-177.5,-57.5,-0.44390466321238786
Early,-177.5,-55,-0.13004603972999398
Early,-177.5,-52.5,0.026787714425170472
Early,-177.5,-50,0.10095798089124322
Early,-177.5,-47.5,0.21068526680605876
Early,-177.5,-45,0.2716203580109174
Early,-177.5,-42.5,0.14740516374295046
Early,-177.5,-40,-0.05928039079736647
Early,-177.5,-37.5,-0.10943184356904379
Early,-177.5,-35,0.03493671667431779
Early,-177.5,-32.5,0.18293021786398456
Early,-177.5,-30,0.2376241652597612
Early,-177.5,-27.5,0.29282647252959243
Early,-177.5,-25,0.3776464499282163
Early,-177.5,-22.5,0.3342422195394091
Early,-177.5,-20,0.10294006439830684
Early,-177.5,-17.5,-0.12085668683275368
Early,-177.5,-15,-0.15103921666183082
Early,-177.5,-12.5,-0.0797108815881811
Early,-177.5,-10,-0.0645912893736997
Early,-177.5,-7.5,-0.015010172834455205
Early,-177.5,-5,0.25275410393070163
Early,-177.5,-2.5,0.6343284720249409
Early,-177.5,0,0.7913588811871314
Early,-177.5,2.5,0.601950551178021
Early,-177.5,5,0.29840043826920193
Early,-177.5,7.5,0.13683462276117755
Early,-177.5,10,0.1320749629720534
Early,-177.5,12.5,0.19845235119059462
Early,-177.5,15,0.3328121706708888
Early,-177.5,17.5,0.5172310782448019
Early,-177.5,20,0.6421426433078165
Early,-177.5,22.5,0.6200230178882234
Early,-177.5,25,0.48271355908100694
Early,-177.5,27.5,0.2707580522579892
Early,-177.5,30,-0.036147942517247886
Early,-177.5,32.5,-0.3964134719445883
Early,-177.5,35,-0.6542131991661579
Early,-177.5,37.5,-0.7210963969944473
Early,-177.5,40,-0.6774101453543032
Early,-177.5,42.5,-0.6406549081119398
Early,-177.5,45,-0.5852183697299642
Early,-177.5,47.5,-0.46930473506693754
Early,-177.5,50,-0.34092740382524594
Early,-177.5,52.5,-0.23217012254733113
Early,-177.5,55,-0.05423377538606711
Early,-177.5,57.5,0.22927062831595707
Early,-177.5,60,0.46256681489581275
Early,-177.5,62.5,0.49608024912007836
Early,-177.5,65,0.4494908970740013
Early,-177.5,67.5,0.5195292679214851
Early,-177.5,70,0.6315660559475829
Early,-177.5,72.5,0.5485094099638946
Early,-177.5,75,0.28663368594854355
Early,-177.5,77.5,0.1287655142246675
Early,-177.5,80,0.17878909264132511
Early,-177.5,82.5,0.20691306434443077
Early,-177.5,85,0.024726124916599028
Early,-177.5,87.5,-0.21924457104485098
Early,-177.5,90,-0.29341062432097303
Early,-175,-90,-0.12222164130922947
Early,-175,-87.5,-0.4546717338195285
Early,-175,-85,-0.32896401041933665
Early,-175,-82.5,0.23527722959531458
Early,-175,-80,0.6008984467677554
Early,-175,-77.5,0.214931341437633
Early,-175,-75,-0.6853286245746881
Early,-175,-72.5,-1.3307725228448128
Early,-175,-70,-1.3214463630131226
Early,-175,-67.5,-0.9862808767213607
Early,-175,-65,-0.8179748910570814
Early,-175,-62.5,-0.8486999493883041
Early,-175,-60,-0.7549933278563612
Early,-175,-57.5,-0.4126452637948099
Early,-175,-55,-0.05141425764096304
Early,-175,-52.5,0.12559726318341954
Early,-175,-50,0.20185739710327555
Early,-175,-47.5,0.31112669624638106
Early,-175,-45,0.37041202142115787
Early,-175,-42.5,0.23793841888106523
Early,-175,-40,0.0011090954525937223
Early,-175,-37.5,-0.11259194708275504
Early,-175,-35,-0.034118512929330616
Early,-175,-32.5,0.09876611990662836
Early,-175,-30,0.1922673549622771
Early,-175,-27.5,0.2839478948337451
Early,-175,-25,0.3562302826996564
Early,-175,-22.5,0.2764031700830222
Early,-175,-20,0.02740158017180936
Early,-175,-17.5,-0.18740564076121208
Early,-175,-15,-0.20298988146156852
Early,-175,-12.5,-0.10935925215174372
Early,-175,-10,-0.05312487595778699
Early,-175,-7.5,0.030768969672771696
Early,-175,-5,0.29474733386105
Early,-175,-2.5,0.6555273142984055
Early,-175,0,0.8208535708393322
Early,-175,2.5,0.668253816029669
Early,-175,5,0.38088294032513315
Early,-175,7.5,0.1938265372406613
Early,-175,10,0.1629008769211154
Early,-175,12.5,0.23533811667137267
Early,-175,15,0.38477544715021705
Early,-175,17.5,0.5809235948731564
Early,-175,20,0.7343985066674323
Early,-175,22.5,0.7610546164881741
Early,-175,25,0.6410564005408658
Early,-175,27.5,0.38154452214492734
Early,-175,30,0.0011757893354651216
Early,-175,32.5,-0.4053010613393352
Early,-175,35,-0.6766041208516221
Early,-175,37.5,-0.7557237673735103
Early,-175,40,-0.7373873081911078
Early,-175,42.5,-0.7117355952059657
Early,-175,45,-0.6670762337456767
Early,-175,47.5,-0.5719556691151136
Early,-175,50,-0.4535541628773815
Early,-175,52.5,-0.3034592206677338
Early,-175,55,-0.05260288869331565
Early,-175,57.5,0.2694538255279523
Early,-175,60,0.4749655407102717
Early,-175,62.5,0.4783515606138165
Early,-175,65,0.44253520487481507
Early,-175,67.5,0.5407060297027365
Early,-175,70,0.6536809442842209
Early,-175,72.5,0.5472885481779747
Early,-175,75,0.2777099903535528
Early,-175,77.5,0.13148325589162252
Early,-175,80,0.18935406619204131
Early,-175,82.5,0.20774010466573758
Early,-175,85,0.01192558352903084
Early,-175,87.5,-0.2314983523492116
Early,-175,90,-0.2897051235754984
Early,-172.5,-90,-0.12862035644734138
Early,-172.5,-87.5,-0.4689649337974158
Early,-172.5,-85,-0.32368071515131525
Early,-172.5,-82.5,0.2715724422121815
Early,-172.5,-80,0.6312738658744171
Early,-172.5,-77.5,0.1892208513405572
Early,-172.5,-75,-0.7571514489674318
Early,-172.5,-72.5,-1.3931417693862427
Early,-172.5,-70,-1.3331918525434574
Early,-172.5,-67.5,-0.9733768995798943
Early,-172.5,-65,-0.8289173768198074
Early,-172.5,-62.5,-0.884766879195541
Early,-172.5,-60,-0.7747252624215177
Early,-172.5,-57.5,-0.38857367178814545
Early,-172.5,-55,0.013639777443251466
Early,-172.5,-52.5,0.22186769458026578
Early,-172.5,-50,0.3156092496699664
Early,-172.5,-47.5,0.41352357423928204
Early,-172.5,-45,0.43661489560981886
Early,-172.5,-42.5,0.2712608711083541
Early,-172.5,-40,0.014284203393564043
Early,-172.5,-37.5,-0.11703992536651402
Early,-172.5,-35,-0.06540228604367326
Early,-172.5,-32.5,0.054580052543459566
Early,-172.5,-30,0.15764685230632483
Early,-172.5,-27.5,0.24648486799391986
Early,-172.5,-25,0.2762317733073343
Early,-172.5,-22.5,0.15650170805038885
Early,-172.5,-20,-0.07695649527449114
Early,-172.5,-17.5,-0.23608656418108875
Early,-172.5,-15,-0.21605214893280203
Early,-172.5,-12.5,-0.1199570163728531
Early,-172.5,-10,-0.05554439875542718
Early,-172.5,-7.5,0.05540190086402399
Early,-172.5,-5,0.33243859509005547
Early,-172.5,-2.5,0.6772977570794674
Early,-172.5,0,0.8396362438215852
Early,-172.5,2.5,0.7174251100014547
Early,-172.5,5,0.45599203876721117
Early,-172.5,7.5,0.2536720260692252
Early,-172.5,10,0.18778200121877173
Early,-172.5,12.5,0.2474953178585592
Early,-172.5,15,0.40804653457862605
Early,-172.5,17.5,0.619186836664191
Early,-172.5,20,0.7918170487633084
Early,-172.5,22.5,0.8490025894170031
Early,-172.5,25,0.755406976345649
Early,-172.5,27.5,0.4916654111362398
Early,-172.5,30,0.07839163629938348
Early,-172.5,32.5,-0.3655856928183217
Early,-172.5,35,-0.6797418581634393
Early,-172.5,37.5,-0.7980359907863421
Early,-172.5,40,-0.7884760562332502
Early,-172.5,42.5,-0.7425079296363942
Early,-172.5,45,-0.692641408781045
Early,-172.5,47.5,-0.6441551057092845
Early,-172.5,50,-0.5761831166279978
Early,-172.5,52.5,-0.4085426025989876
Early,-172.5,55,-0.08086584733840954
Early,-172.5,57.5,0.29271505166210515
Early,-172.5,60,0.48354465453938017
Early,-172.5,62.5,0.45599344780285633
Early,-172.5,65,0.4268583336579321
Early,-172.5,67.5,0.5501874233192847
Early,-172.5,70,0.6614086808175899
Early,-172.5,72.5,0.5377599911550254
Early,-172.5,75,0.2669303935761377
Early,-172.5,77.5,0.1383907345697191
Early,-172.5,80,0.20337154421779277
Early,-172.5,82.5,0.2085150555211231
Early,-172.5,85,-0.0015958501881186526
Early,-172.5,87.5,-0.24314629521926223
Early,-172.5,90,-0.28526483765183347
Early,-170,-90,-0.13395198380111464
Early,-170,-87.5,-0.4820577869017087
Early,-170,-85,-0.3211742979731897
