phase,lon,lat,UWIND
Early,-177.5,-90,-0.4843563746901001
Early,-177.5,-87.5,-0.4568741605716059
Early,-177.5,-85,-0.45559111555751347
Early,-177.5,-82.5,-0.3713018877572417
Early,-177.5,-80,0.023503170516098456
Early,-177.5,-77.5,0.5761834799173882
Early,-177.5,-75,0.7988814151251669
Early,-177.5,-72.5,0.46972089717726473
Early,-177.5,-70,-0.05022588671613238
Early,-177.5,-67.5,-0.2566103685113064
Early,-177.5,-65,-0.0474617480175397
Early,-177.5,-62.5,0.2886514443938472
Early,-177.5,-60,0.5037168896060555
Early,-177.5,-57.5,0.6066270307547484
Early,-177.5,-55,0.6783518372142125
Early,-177.5,-52.5,0.6866876832115791
Early,-177.5,-50,0.5685462987923117
Early,-177.5,-47.5,0.38493986528335017
Early,-177.5,-45,0.25510474536715366
Early,-177.5,-42.5,0.1671736855040327
Early,-177.5,-40,-0.016287606117321145
Early,-177.5,-37.5,-0.3462747905861186
Early,-177.5,-35,-0.6718530604823789
Early,-177.5,-32.5,-0.8267853524841129
Early,-177.5,-30,-0.8542178286478581
Early,-177.5,-27.5,-0.920210258793273
Early,-177.5,-25,-1.0235240580656333
Early,-177.5,-22.5,-0.9580233525238762
Early,-177.5,-20,-0.6110549853294038
Early,-177.5,-17.5,-0.156771816362213
Early,-177.5,-15,0.1469465605144647
Early,-177.5,-12.5,0.23104871508732755
Early,-177.5,-10,0.17532904624403367
Early,-177.5,-7.5,-0.0158462190266063
Early,-177.5,-5,-0.3871409901318037
Early,-177.5,-2.5,-0.8218324788282815
Early,-177.5,0,-1.056475088071409
Early,-177.5,2.5,-0.970205790864912
Early,-177.5,5,-0.6975345245894541
Early,-177.5,7.5,-0.422160481058611
Early,-177.5,10,-0.20138152495405887
Early,-177.5,12.5,-0.04282942289239026
Early,-177.5,15,0.020273724200544303
Early,-177.5,17.5,0.016085142428454404
Early,-177.5,20,0.06153024263820227
Early,-177.5,22.5,0.19007247204033978
Early,-177.5,25,0.25639623427742037
Early,-177.5,27.5,0.14633017307945662
Early,-177.5,30,-0.057714604117613116
Early,-177.5,32.5,-0.21248585834588035
Early,-177.5,35,-0.3198380338406766
Early,-177.5,37.5,-0.4170089329087658
Early,-177.5,40,-0.39725939810422095
Early,-177.5,42.5,-0.12581487475229222
Early,-177.5,45,0.2746208854677555
Early,-177.5,47.5,0.5099121136481821
Early,-177.5,50,0.45922492532957715
Early,-177.5,52.5,0.2774447435300766
Early,-177.5,55,0.12119962468296616
Early,-177.5,57.5,-0.02254160042474646
Early,-177.5,60,-0.17510446695164614
Early,-177.5,62.5,-0.2286373001265675
Early,-177.5,65,-0.1365013861072582
Early,-177.5,67.5,-0.06059355576328167
Early,-177.5,70,-0.18288762025789188
Early,-177.5,72.5,-0.44041839561433743
Early,-177.5,75,-0.60351268924618
Early,-177.5,77.5,-0.5634643737042778
Early,-177.5,80,-0.4164783175287802
Early,-177.5,82.5,-0.279585574633127
Early,-177.5,85,-0.15472302501969185
Early,-177.5,87.5,0.008039057281121476
Early,-177.5,90,0.20606021570635535
Early,-175,-90,-0.4884064480501647
Early,-175,-87.5,-0.4506865866547899
Early,-175,-85,-0.45154066679157895
Early,-175,-82.5,-0.38196355900568746
Early,-175,-80,-0.0038849197485148266
Early,-175,-77.5,0.5428551411870001
Early,-175,-75,0.7685758615855829
Early,-175,-72.5,0.44241173629275166
Early,-175,-70,-0.07093093952996823
Early,-175,-67.5,-0.2522341186524067
Early,-175,-65,-0.012100857332110313
Early,-175,-62.5,0.3280106703892655
Early,-175,-60,0.5151122118496471
Early,-175,-57.5,0.5941247580999118
Early,-175,-55,0.6840878925220486
Early,-175,-52.5,0.7322411249885976
Early,-175,-50,0.6245849834999814
Early,-175,-47.5,0.4023292319993995
Early,-175,-45,0.21912561936178848
Early,-175,-42.5,0.10714960474246656
Early,-175,-40,-0.06910057982594736
Early,-175,-37.5,-0.3797741788727349
Early,-175,-35,-0.6915573480851567
Early,-175,-32.5,-0.8409361835650666
Early,-175,-30,-0.8659310176709004
Early,-175,-27.5,-0.9230305815361509
