phase,lon,lat,UWIND
Early,-177.5,-90,0.7469893886587371
Early,-177.5,-87.5,1.0336534423790407
Early,-177.5,-85,0.9283006685018147
Early,-177.5,-82.5,0.28788708622079695
Early,-177.5,-80,-0.5951415749037945
Early,-177.5,-77.5,-0.9843501198994585
Early,-177.5,-75,-0.43526438978148324
Early,-177.5,-72.5,0.6365661831936196
Early,-177.5,-70,1.3514482213020247
Early,-177.5,-67.5,1.312225247095116
Early,-177.5,-65,0.8550587831440006
Early,-177.5,-62.5,0.42845822484499274
Early,-177.5,-60,0.07642852874338599
Early,-177.5,-57.5,-0.344710476768787
Early,-177.5,-55,-0.7518113486484841
Early,-177.5,-52.5,-0.9194817026002235
Early,-177.5,-50,-0.840068169321248
Early,-177.5,-47.5,-0.711107091674412
Early,-177.5,-45,-0.603256526988217
Early,-177.5,-42.5,-0.36473095489819324
Early,-177.5,-40,0.08045427874988287
Early,-177.5,-37.5,0.5595890713309983
Early,-177.5,-35,0.8384722619527759
Early,-177.5,-32.5,0.8918907403653625
Early,-177.5,-30,0.872859011982454
Early,-177.5,-27.5,0.9034468639016624
Early,-177.5,-25,0.9529348255571072
Early,-177.5,-22.5,0.9111881387416298
Early,-177.5,-20,0.691431416529918
Early,-177.5,-17.5,0.3246600481036313
Early,-177.5,-15,-0.03999131200697337
Early,-177.5,-12.5,-0.22065244802534487
Early,-177.5,-10,-0.16333647074354454
Early,-177.5,-7.5,0.035610257569044124
Early,-177.5,-5,0.2505291832406427
Early,-177.5,-2.5,0.4340537504518246
Early,-177.5,0,0.5820587333057015
Early,-177.5,2.5,0.6593169769463647
Early,-177.5,5,0.6083944436970895
Early,-177.5,7.5,0.4119740026150178
Early,-177.5,10,0.12972101946822537
Early,-177.5,12.5,-0.14277410143048436
Early,-177.5,15,-0.3591680121315963
Early,-177.5,17.5,-0.5381417634017924
Early,-177.5,20,-0.7221319587374785
Early,-177.5,22.5,-0.8671172315406648
Early,-177.5,25,-0.8160286636416527
Early,-177.5,27.5,-0.4609872772612829
Early,-177.5,30,0.11117692787014453
Early,-177.5,32.5,0.6726450877942327
Early,-177.5,35,1.0700026431590381
Early,-177.5,37.5,1.263208009775844
Early,-177.5,40,1.1938473628897877
Early,-177.5,42.5,0.8042142452899216
Early,-177.5,45,0.22821121862188126
Early,-177.5,47.5,-0.19358101267569872
Early,-177.5,50,-0.2560649991032044
Early,-177.5,52.5,-0.12850804404176885
Early,-177.5,55,-0.10332573670178892
Early,-177.5,57.5,-0.19996654776378656
Early,-177.5,60,-0.2349310078586729
Early,-177.5,62.5,-0.1988517589555406
Early,-177.5,65,-0.27203909513456564
Early,-177.5,67.5,-0.4407576454292191
Early,-177.5,70,-0.39381214961232364
Early,-177.5,72.5,0.024034504334743852
Early,-177.5,75,0.49793281007149026
Early,-177.5,77.5,0.6037381715908939
Early,-177.5,80,0.3626327201460891
Early,-177.5,82.5,0.15654818267863432
Early,-177.5,85,0.17641380760900036
Early,-177.5,87.5,0.2087937965793929
Early,-177.5,90,0.025532343902710808
Early,-175,-90,0.7571500237744438
Early,-175,-87.5,1.040564296470755
Early,-175,-85,0.9159668772483883
Early,-175,-82.5,0.2612753971120793
Early,-175,-80,-0.5958480510946857
Early,-175,-77.5,-0.9206430249807328
Early,-175,-75,-0.31381999548656936
Early,-175,-72.5,0.755637265664236
Early,-175,-70,1.4136565844020819
Early,-175,-67.5,1.3141852309694886
Early,-175,-65,0.8337060055888241
Early,-175,-62.5,0.4222860778822589
Early,-175,-60,0.085347452451817
Early,-175,-57.5,-0.3597169217350734
Early,-175,-55,-0.837900002637703
Early,-175,-52.5,-1.077510725668594
Early,-175,-50,-1.0138178756532537
Early,-175,-47.5,-0.8341546978456031
Early,-175,-45,-0.6552753265914827
Early,-175,-42.5,-0.377232905046273
Early,-175,-40,0.08872165832113794
Early,-175,-37.5,0.6062983796173094
Early,-175,-35,0.933143065440035
Early,-175,-32.5,0.9944509187279572
Early,-175,-30,0.9334429680098938
Early,-175,-27.5,0.9159918611632516
Early,-175,-25,0.949990437760896
Early,-175,-22.5,0.9079000000679931
Early,-175,-20,0.6820260310447119
Early,-175,-17.5,0.30949433564467244
Early,-175,-15,-0.035859853062802684
Early,-175,-12.5,-0.19703861132356457
Early,-175,-10,-0.14259991337488942
Early,-175,-7.5,0.03895394424127661
Early,-175,-5,0.24444432008126588
Early,-175,-2.5,0.41444481443316405
Early,-175,0,0.5370063585285726
Early,-175,2.5,0.5976095895901334
Early,-175,5,0.571510101802654
Early,-175,7.5,0.42349261397980836
Early,-175,10,0.16437063162918628
Early,-175,12.5,-0.12521075473813945
Early,-175,15,-0.34958395446645985
Early,-175,17.5,-0.5195366276329166
Early,-175,20,-0.7271812572667441
Early,-175,22.5,-0.9542510143264713
Early,-175,25,-0.9959106616261572
Early,-175,27.5,-0.6710541492122302
Early,-175,30,-0.06604791399782062
Early,-175,32.5,0.5461716267344195
Early,-175,35,0.9862193291449104
Early,-175,37.5,1.2301225212761187
Early,-175,40,1.2197009106128973
Early,-175,42.5,0.8735581747346142
Early,-175,45,0.33452646090768967
Early,-175,47.5,-0.027097439547824932
Early,-175,50,-0.021920306206709594
Early,-175,52.5,0.10777558629978604
Early,-175,55,0.034173247224638076
Early,-175,57.5,-0.20328717322836776
Early,-175,60,-0.32426610956225177
Early,-175,62.5,-0.29466892441128373
Early,-175,65,-0.3388673092566656
Early,-175,67.5,-0.48238477457699497
Early,-175,70,-0.41183036054324645
Early,-175,72.5,0.036904863251397885
Early,-175,75,0.5358440353816304
Early,-175,77.5,0.6421265796436507
Early,-175,80,0.3768240473774113
Early,-175,82.5,0.1441831168670747
Early,-175,85,0.15388624209948315
Early,-175,87.5,0.19662333055937403
Early,-175,90,0.025918059555559383
Early,-172.5,-90,0.765750179328698
Early,-172.5,-87.5,1.044111141196003
Early,-172.5,-85,0.9010205174095471
Early,-172.5,-82.5,0.23284059435410956
Early,-172.5,-80,-0.5926674740657377
Early,-172.5,-77.5,-0.8441708302685763
Early,-172.5,-75,-0.18567208537054405
Early,-172.5,-72.5,0.8678954766290404
Early,-172.5,-70,1.461876114187545
Early,-172.5,-67.5,1.3047273569402058
Early,-172.5,-65,0.812760868776534
Early,-172.5,-62.5,0.4171087816917972
Early,-172.5,-60,0.08739911283400267
Early,-172.5,-57.5,-0.39020183538605563
Early,-172.5,-55,-0.9365206314195618
Early,-172.5,-52.5,-1.247109973368633
Early,-172.5,-50,-1.1932393152456324
Early,-172.5,-47.5,-0.9393117513706426
Early,-172.5,-45,-0.655856001541117
Early,-172.5,-42.5,-0.31363732456855054
Early,-172.5,-40,0.16116549046425482
Early,-172.5,-37.5,0.6797244201694764
Early,-172.5,-35,1.0280688264391369
Early,-172.5,-32.5,1.1045283875514156
Early,-172.5,-30,1.0115172944979263
Early,-172.5,-27.5,0.9337235183174831
Early,-172.5,-25,0.9263817752312178
Early,-172.5,-22.5,0.8708654047841797
Early,-172.5,-20,0.6358817766487116
Early,-172.5,-17.5,0.254332232883764
Early,-172.5,-15,-0.08028115965328826
Early,-172.5,-12.5,-0.19880168950011118
Early,-172.5,-10,-0.0996969185672942
Early,-172.5,-7.5,0.08890274800352915
Early,-172.5,-5,0.24562758636109386
Early,-172.5,-2.5,0.3449046569395504
Early,-172.5,0,0.4258320500672338
Early,-172.5,2.5,0.507583225253508
Early,-172.5,5,0.5461274308812518
Early,-172.5,7.5,0.4563811078446235
Early,-172.5,10,0.2067371729094481
Early,-172.5,12.5,-0.10063965542934494
Early,-172.5,15,-0.32862988651633845
Early,-172.5,17.5,-0.48089397018110797
Early,-172.5,20,-0.6917143140307908
Early,-172.5,22.5,-0.9721767029307996
Early,-172.5,25,-1.0864686782783854
Early,-172.5,27.5,-0.8193067149227525
Early,-172.5,30,-0.24476342581593696
Early,-172.5,32.5,0.36150927061015337
Early,-172.5,35,0.8286419990951047
Early,-172.5,37.5,1.1304272498912844
Early,-172.5,40,1.1904131910435292
Early,-172.5,42.5,0.9118747602218086
Early,-172.5,45,0.4420165588463232
Early,-172.5,47.5,0.16639147760489276
Early,-172.5,50,0.2348417842937707
Early,-172.5,52.5,0.3475293766715189
Early,-172.5,55,0.16714449457561983
Early,-172.5,57.5,-0.20131115004495603
Early,-172.5,60,-0.4006830045460447
Early,-172.5,62.5,-0.3792422987472866
Early,-172.5,65,-0.3942335514537325
Early,-172.5,67.5,-0.5083062417409234
Early,-172.5,70,-0.41261600973307383
Early,-172.5,72.5,0.058396635262066225
Early,-172.5,75,0.5722228605271297
Early,-172.5,77.5,0.6765624495834823
Early,-172.5,80,0.39136148965991907
Early,-172.5,82.5,0.13566639085314622
Early,-172.5,85,0.13499903712682693
Early,-172.5,87.5,0.18428606149946658
Early,-172.5,90,0.026711775177720276
Early,-170,-90,0.7722384472231627
Early,-170,-87.5,1.0449808788798698
Early,-170,-85,0.8816771849073419
Early,-170,-82.5,0.2017943886601212
Early,-170,-80,-0.5829259897583025
Early,-170,-77.5,-0.7576530900361841
Early,-170,-75,-0.053279600124471756
Early,-170,-72.5,0.9710976997932608
Early,-170,-70,1.4931763335213697
Early,-170,-67.5,1.2882826148575184
Early,-170,-65,0.7913258067598828
Early,-170,-62.5,0.4084764503285771
Early,-170,-60,0.07456828872546564
Early,-170,-57.5,-0.43512880137016335
Early,-170,-55,-1.0387920345053863
Early,-170,-52.5,-1.3977000585140174
Early,-170,-50,-1.3387049459585685
Early,-170,-47.5,-0.9984107267004954
Early,-170,-45,-0.5983046001839221
Early,-170,-42.5,-0.19381585255901138
Early,-170,-40,0.26145792315248195
Early,-170,-37.5,0.7323828236935941
Early,-170,-35,1.0731737998964004
Early,-170,-32.5,1.1705189135078797
Early,-170,-30,1.0831703609168424
Early,-170,-27.5,0.9746215508763647
Early,-170,-25,0.9267889988745274
Early,-170,-22.5,0.8413688978107342
Early,-170,-20,0.5707394306029074
Early,-170,-17.5,0.15642886657271524
Early,-170,-15,-0.17651840922327683
Early,-170,-12.5,-0.23998169096887778
Early,-170,-10,-0.0691961839672757
Early,-170,-7.5,0.13161065667565403
Early,-170,-5,0.22751209156254476
Early,-170,-2.5,0.24464560887535028
Early,-170,0,0.28990113367734105
Early,-170,2.5,0.3995275770697057
Early,-170,5,0.4957590475877031
Early,-170,7.5,0.446141758249417
Early,-170,10,0.2193147162957599
Early,-170,12.5,-0.06488689665298471
Early,-170,15,-0.2624593622201249
Early,-170,17.5,-0.3951934614420207
Early,-170,20,-0.6108681818928348
Early,-170,22.5,-0.9136572503417235
Early,-170,25,-1.0727961021243708
Early,-170,27.5,-0.8748476232540949
Early,-170,30,-0.39084327565634214
Early,-170,32.5,0.14080737513493297
Early,-170,35,0.5877771605193628
Early,-170,37.5,0.9382184904201443
Early,-170,40,1.0866043663877434
Early,-170,42.5,0.911182732911328
Early,-170,45,0.55480833890316394
Early,-170,47.5,0.3771120920601566
Early,-170,50,0.4855322525246787
Early,-170,52.5,0.5532695657703826
Early,-170,55,0.2722432622502254
Early,-170,57.5,-0.1944559281103562
Early,-170,60,-0.4509122217265219
Early,-170,62.5,-0.4397321237911136
Early,-170,65,-0.4356558449990003
