phase,lon,lat,VwIND
Early,-177.5,-90,0.1343221388167291
Early,-177.5,-87.5,0.2805633212291429
Early,-177.5,-85,0.17325875200881252
Early,-177.5,-82.5,-0.10660946646966903
Early,-177.5,-80,-0.29392184236536784
Early,-177.5,-77.5,-0.18916274411733175
Early,-177.5,-75,0.12972023443246875
Early,-177.5,-72.5,0.4121498271481109
Early,-177.5,-70,0.5261714992593799
Early,-177.5,-67.5,0.5488479260574576
Early,-177.5,-65,0.6002117795773447
Early,-177.5,-62.5,0.6702180309995703
Early,-177.5,-60,0.680817868898292
Early,-177.5,-57.5,0.6101537517495839
Early,-177.5,-55,0.4933023202870344
Early,-177.5,-52.5,0.3536957961022756
Early,-177.5,-50,0.18589769440919496
Early,-177.5,-47.5,0.00167221819822308
Early,-177.5,-45,-0.16220662546559808
Early,-177.5,-42.5,-0.29978476813320937
Early,-177.5,-40,-0.41326047855912773
Early,-177.5,-37.5,-0.4778200855724083
Early,-177.5,-35,-0.4534997094441754
Early,-177.5,-32.5,-0.358161399980764
Early,-177.5,-30,-0.2631898719711555
Early,-177.5,-27.5,-0.22454713335555096
Early,-177.5,-25,-0.2337678487451784
Early,-177.5,-22.5,-0.24638663555995882
Early,-177.5,-20,-0.2241758809281948
Early,-177.5,-17.5,-0.14331273218791013
Early,-177.5,-15,-0.023179025194941937
Early,-177.5,-12.5,0.08567925949817377
Early,-177.5,-10,0.13785047284362942
Early,-177.5,-7.5,0.16010685765779573
Early,-177.5,-5,0.2050220475388824
Early,-177.5,-2.5,0.2618677151149444
Early,-177.5,0,0.24677734554212066
Early,-177.5,2.5,0.11793879541038912
Early,-177.5,5,-0.05431039483134437
Early,-177.5,7.5,-0.1769980405345765
Early,-177.5,10,-0.22876207418190536
Early,-177.5,12.5,-0.24434329760185325
Early,-177.5,15,-0.23079750699996496
Early,-177.5,17.5,-0.19652704736597781
Early,-177.5,20,-0.20176050801996656
Early,-177.5,22.5,-0.3140438616667858
Early,-177.5,25,-0.5069161227008869
Early,-177.5,27.5,-0.6680910366621385
Early,-177.5,30,-0.7211072845824493
Early,-177.5,32.5,-0.7018659791842461
Early,-177.5,35,-0.6654839006255807
Early,-177.5,37.5,-0.6084898622731661
Early,-177.5,40,-0.5047618701398544
Early,-177.5,42.5,-0.36961747160031455
Early,-177.5,45,-0.22954211956298523
Early,-177.5,47.5,-0.07166401250465743
Early,-177.5,50,0.10595860659872176
Early,-177.5,52.5,0.24172095101143404
Early,-177.5,55,0.26134683907852624
Early,-177.5,57.5,0.1881506961548159
Early,-177.5,60,0.12636470442631031
Early,-177.5,62.5,0.13025936383014822
Early,-177.5,65,0.13646373588241048
Early,-177.5,67.5,0.07303033968698967
Early,-177.5,70,-0.030886759353323568
Early,-177.5,72.5,-0.09199773884067361
Early,-177.5,75,-0.090831979363379875
Early,-177.5,77.5,-0.08387654628884984
Early,-177.5,80,-0.12691089831511088
Early,-177.5,82.5,-0.19590157997488256
Early,-177.5,85,-0.2140525119352092
Early,-177.5,87.5,-0.12177759088614606
Early,-177.5,90,0.07140084511566751
Early,-175,-90,0.1286745205672069
Early,-175,-87.5,0.2669949765049437
Early,-175,-85,0.16036665798901475
Early,-175,-82.5,-0.09667291911369329
Early,-175,-80,-0.24384383050447495
Early,-175,-77.5,-0.11826562416644766
Early,-175,-75,0.17795198160294434
Early,-175,-72.5,0.40093637934698073
Early,-175,-70,0.4502645442173797
Early,-175,-67.5,0.42712195140128417
Early,-175,-65,0.4496084137769276
Early,-175,-62.5,0.5026489797089116
Early,-175,-60,0.509642957195702
Early,-175,-57.5,0.4546733109326712
Early,-175,-55,0.36324119616570527
Early,-175,-52.5,0.24123180054820123
Early,-175,-50,0.07940312361126807
Early,-175,-47.5,-0.09233850640708123
Early,-175,-45,-0.22273887297071196
Early,-175,-42.5,-0.30185846809277156
Early,-175,-40,-0.35843566583981185
Early,-175,-37.5,-0.39304773670250664
Early,-175,-35,-0.37736363371138
Early,-175,-32.5,-0.32244425265165183
Early,-175,-30,-0.2754158584363744
Early,-175,-27.5,-0.2646885873658937
Early,-175,-25,-0.2589947934462309
Early,-175,-22.5,-0.22509003903163258
Early,-175,-20,-0.1501702186120288
Early,-175,-17.5,-0.050544922173675365
Early,-175,-15,0.050647898768273476
Early,-175,-12.5,0.12904184672037086
Early,-175,-10,0.17244776442819312
Early,-175,-7.5,0.20433552488092283
Early,-175,-5,0.2547411584122965
Early,-175,-2.5,0.3041067824054251
Early,-175,0,0.2790961284147082
Early,-175,2.5,0.14886690997431534
Early,-175,5,-0.02427755112915406
Early,-175,7.5,-0.1469603442854369
Early,-175,10,-0.19202137263841365
Early,-175,12.5,-0.19242190202340612
Early,-175,15,-0.17219465356549002
Early,-175,17.5,-0.14574903283212381
Early,-175,20,-0.15294739161068477
Early,-175,22.5,-0.24055743502158655
Early,-175,25,-0.39792514094434095
Early,-175,27.5,-0.5526465173683274
Early,-175,30,-0.6482828812648558
Early,-175,32.5,-0.6848925715501365
Early,-175,35,-0.6735392353671088
Early,-175,37.5,-0.6067433870191214
Early,-175,40,-0.5087658527895024
Early,-175,42.5,-0.4282839136997238
Early,-175,45,-0.3745666064258635
Early,-175,47.5,-0.28961727612227967
Early,-175,50,-0.12647656942392704
Early,-175,52.5,0.04888599373912435
Early,-175,55,0.12280659081396746
Early,-175,57.5,0.08660215983200692
Early,-175,60,0.04134466526926158
Early,-175,62.5,0.05265235205917351
Early,-175,65,0.07006018132988591
Early,-175,67.5,0.02960011977681763
Early,-175,70,-0.04124823643800775
Early,-175,72.5,-0.07000786183748454
Early,-175,75,-0.04707727495183985
Early,-175,77.5,-0.04344978777135172
Early,-175,80,-0.10136976118000814
Early,-175,82.5,-0.18175968726160502
Early,-175,85,-0.2003643152724412
Early,-175,87.5,-0.10511373362841617
Early,-175,90,0.0842133498050051
Early,-172.5,-90,0.12433115057368163
Early,-172.5,-87.5,0.25037547150232536
Early,-172.5,-85,0.14813535449806312
Early,-172.5,-82.5,-0.08003926323466286
Early,-172.5,-80,-0.18644413378656827
Early,-172.5,-77.5,-0.04322664145118067
Early,-172.5,-75,0.22260922609045855
Early,-172.5,-72.5,0.38473761945467666
Early,-172.5,-70,0.3762025199032791
Early,-172.5,-67.5,0.3147535193315564
Early,-172.5,-65,0.30763206850410735
Early,-172.5,-62.5,0.33633701074782296
Early,-172.5,-60,0.3339249901075871
Early,-172.5,-57.5,0.2956100247181776
Early,-172.5,-55,0.23976626401306453
Early,-172.5,-52.5,0.14614738960672458
Early,-172.5,-50,-0.003404781622669506
Early,-172.5,-47.5,-0.15346990952532316
Early,-172.5,-45,-0.22767792580147295
Early,-172.5,-42.5,-0.22987549148167372
Early,-172.5,-40,-0.2289473456144326
Early,-172.5,-37.5,-0.2654363944642701
Early,-172.5,-35,-0.309767867850875
Early,-172.5,-32.5,-0.33159217395648294
Early,-172.5,-30,-0.3357247734733548
Early,-172.5,-27.5,-0.3255763733123832
