phase,lon,lat,VwIND
Early,-177.5,-90,-0.24028337932052318
Early,-177.5,-87.5,-0.17245313287402678
Early,-177.5,-85,0.10780792400990973
Early,-177.5,-82.5,0.40168447946707514
Early,-177.5,-80,0.49952944748003913
Early,-177.5,-77.5,0.31062172914034925
Early,-177.5,-75,-0.08243894616544394
Early,-177.5,-72.5,-0.4789769444115276
Early,-177.5,-70,-0.700500923940562
Early,-177.5,-67.5,-0.7078138975036986
Early,-177.5,-65,-0.60618254673378
Early,-177.5,-62.5,-0.5180741417374481
Early,-177.5,-60,-0.48093130473201623
Early,-177.5,-57.5,-0.44153616613782853
Early,-177.5,-55,-0.3282478889291779
Early,-177.5,-52.5,-0.13321457739415615
Early,-177.5,-50,0.08908418043773
Early,-177.5,-47.5,0.2736459319563935
Early,-177.5,-45,0.3865121160641319
Early,-177.5,-42.5,0.4448424450949226
Early,-177.5,-40,0.47066653475893694
Early,-177.5,-37.5,0.47172127503209876
Early,-177.5,-35,0.4361046462278579
Early,-177.5,-32.5,0.3551461266403612
Early,-177.5,-30,0.24505960507996333
Early,-177.5,-27.5,0.13507074980612085
Early,-177.5,-25,0.06385541613893796
Early,-177.5,-22.5,0.061614192387653054
Early,-177.5,-20,0.11884383192273783
Early,-177.5,-17.5,0.18876749426733377
Early,-177.5,-15,0.22295642175505012
Early,-177.5,-12.5,0.21554437437251064
Early,-177.5,-10,0.20360664675378212
Early,-177.5,-7.5,0.19657544843115707
Early,-177.5,-5,0.18269895313597112
Early,-177.5,-2.5,0.15604882301505973
Early,-177.5,0,0.15102555457219777
Early,-177.5,2.5,0.19201895775575073
Early,-177.5,5,0.23494292790873159
Early,-177.5,7.5,0.2307421136791058
Early,-177.5,10,0.17181383695161498
Early,-177.5,12.5,0.09608493314140132
Early,-177.5,15,0.019712544081252587
Early,-177.5,17.5,-0.05505707093704138
Early,-177.5,20,-0.09033619048919943
Early,-177.5,22.5,-0.01763443409911019
Early,-177.5,25,0.1795647737972803
Early,-177.5,27.5,0.43067870152092685
Early,-177.5,30,0.643404392304901
Early,-177.5,32.5,0.7897237640367529
Early,-177.5,35,0.8779806441636241
Early,-177.5,37.5,0.9003510201212568
Early,-177.5,40,0.84260185298245
Early,-177.5,42.5,0.73339421476818
Early,-177.5,45,0.6077691769977662
Early,-177.5,47.5,0.4422791003468141
Early,-177.5,50,0.1811812756518641
Early,-177.5,52.5,-0.15402415713058026
Early,-177.5,55,-0.43899771015310624
Early,-177.5,57.5,-0.5410205660331661
Early,-177.5,60,-0.4501504914000576
Early,-177.5,62.5,-0.27433386017616573
Early,-177.5,65,-0.11313484672567417
Early,-177.5,67.5,0.004580989676345684
Early,-177.5,70,0.08766925951976393
Early,-177.5,72.5,0.120818818704262
Early,-177.5,75,0.056078869609878124
Early,-177.5,77.5,-0.10845356940582276
Early,-177.5,80,-0.28678235242902556
Early,-177.5,82.5,-0.36095321174214595
Early,-177.5,85,-0.28322517057910457
Early,-177.5,87.5,-0.12172685708769371
Early,-177.5,90,0.01651848061747662
Early,-175,-90,-0.2072346326814618
Early,-175,-87.5,-0.12497077241594035
Early,-175,-85,0.1685987195146812
