Dates,Day,Month,Year,Bahad_Q
4/1/1987,1,4,1987,5475
4/2/1987,2,4,1987,5445
4/3/1987,3,4,1987,5445
4/4/1987,4,4,1987,5625
4/5/1987,5,4,1987,5933
4/6/1987,6,4,1987,6349
4/7/1987,7,4,1987,6683
4/8/1987,8,4,1987,6717
4/9/1987,9,4,1987,6819
4/10/1987,10,4,1987,7753
4/11/1987,11,4,1987,9605
4/12/1987,12,4,1987,10865
4/13/1987,13,4,1987,10865
4/14/1987,14,4,1987,10357
4/15/1987,15,4,1987,9954
4/16/1987,16,4,1987,10043
4/17/1987,17,4,1987,11196
4/18/1987,18,4,1987,12692
4/19/1987,19,4,1987,13165
4/20/1987,20,4,1987,12640
4/21/1987,21,4,1987,12078
4/22/1987,22,4,1987,11583
4/23/1987,23,4,1987,11196
4/24/1987,24,4,1987,10865
4/25/1987,25,4,1987,9880
4/26/1987,26,4,1987,9470
4/27/1987,27,4,1987,9180
4/28/1987,28,4,1987,9060
4/29/1987,29,4,1987,9070
4/30/1987,30,4,1987,10222
5/1/1987,1,5,1987,10912
5/2/1987,2,5,1987,11485
5/3/1987,3,5,1987,12383
5/4/1987,4,5,1987,12537
5/5/1987,5,5,1987,12078
5/6/1987,6,5,1987,11583
5/7/1987,7,5,1987,11388
5/8/1987,8,5,1987,11534
5/9/1987,9,5,1987,11829
5/10/1987,10,5,1987,12078
5/11/1987,11,5,1987,12281
5/12/1987,12,5,1987,12537
5/13/1987,13,5,1987,12434
5/14/1987,14,5,1987,11978
5/15/1987,15,5,1987,11340
5/16/1987,16,5,1987,10725
5/17/1987,17,5,1987,10448
5/18/1987,18,5,1987,10312
5/19/1987,19,5,1987,10312
5/20/1987,20,5,1987,10959
5/21/1987,21,5,1987,11101
5/22/1987,22,5,1987,10959
5/23/1987,23,5,1987,11148
5/24/1987,24,5,1987,12129
5/25/1987,25,5,1987,14943
5/26/1987,26,5,1987,16315
5/27/1987,27,5,1987,16562
5/28/1987,28,5,1987,16071
5/29/1987,29,5,1987,15829
5/30/1987,30,5,1987,15949
5/31/1987,31,5,1987,16874
6/1/1987,1,6,1987,17898
6/2/1987,2,6,1987,18559
6/3/1987,3,6,1987,17833
6/4/1987,4,6,1987,16811
6/5/1987,5,6,1987,16315
6/6/1987,6,6,1987,15949
6/7/1987,7,6,1987,16010
6/8/1987,8,6,1987,17574
6/9/1987,9,6,1987,19099
6/10/1987,10,6,1987,19929
6/11/1987,11,6,1987,20927
6/12/1987,12,6,1987,23555
6/13/1987,13,6,1987,24815
6/14/1987,14,6,1987,24815
6/15/1987,15,6,1987,25030
6/16/1987,16,6,1987,26341
6/17/1987,17,6,1987,27581
6/18/1987,18,6,1987,29573
6/19/1987,19,6,1987,30176
6/20/1987,20,6,1987,29934
6/21/1987,21,6,1987,28507
6/22/1987,22,6,1987,28860
6/23/1987,23,6,1987,28742
6/24/1987,24,6,1987,29334
6/25/1987,25,6,1987,30664
6/26/1987,26,6,1987,32414
6/27/1987,27,6,1987,33833
6/28/1987,28,6,1987,35969
6/29/1987,29,6,1987,38334
6/30/1987,30,6,1987,41094
7/1/1987,1,7,1987,44050
7/2/1987,2,7,1987,50916
7/3/1987,3,7,1987,51850
7/4/1987,4,7,1987,51148
7/5/1987,5,7,1987,48628
7/6/1987,6,7,1987,47956
7/7/1987,7,7,1987,48403
7/8/1987,8,7,1987,49080
7/9/1987,9,7,1987,49763
7/10/1987,10,7,1987,49763
7/11/1987,11,7,1987,48854
7/12/1987,12,7,1987,48628
7/13/1987,13,7,1987,47956
7/14/1987,14,7,1987,48179
7/15/1987,15,7,1987,46629
7/16/1987,16,7,1987,45975
7/17/1987,17,7,1987,44261
7/18/1987,18,7,1987,43212
7/19/1987,19,7,1987,41975
7/20/1987,20,7,1987,40650
7/21/1987,21,7,1987,40650
7/22/1987,22,7,1987,41243
7/23/1987,23,7,1987,41975
7/24/1987,24,7,1987,48403
7/25/1987,25,7,1987,50916
7/26/1987,26,7,1987,50916
7/27/1987,27,7,1987,55703
7/28/1987,28,7,1987,61044
7/29/1987,29,7,1987,61044
7/30/1987,30,7,1987,60001
7/31/1987,31,7,1987,58206
8/1/1987,1,8,1987,55950
8/2/1987,2,8,1987,56198
8/3/1987,3,8,1987,54479
8/4/1987,4,8,1987,56198
8/5/1987,5,8,1987,53754
8/6/1987,6,8,1987,51850
8/7/1987,7,8,1987,50222
8/8/1987,8,8,1987,48854
8/9/1987,9,8,1987,48179
8/10/1987,10,8,1987,50916
8/11/1987,11,8,1987,60521
8/12/1987,12,8,1987,68397
8/13/1987,13,8,1987,66715
8/14/1987,14,8,1987,67273
8/15/1987,15,8,1987,67553
8/16/1987,16,8,1987,66715
8/17/1987,17,8,1987,65609
8/18/1987,18,8,1987,63433
8/19/1987,19,8,1987,59484
8/20/1987,20,8,1987,54967
8/21/1987,21,8,1987,50222
8/22/1987,22,8,1987,45759
8/23/1987,23,8,1987,42179
8/24/1987,24,8,1987,39481
8/25/1987,25,8,1987,38476
8/26/1987,26,8,1987,36379
8/27/1987,27,8,1987,36517
8/28/1987,28,8,1987,35833
8/29/1987,29,8,1987,36379
8/30/1987,30,8,1987,37070
8/31/1987,31,8,1987,36655
9/1/1987,1,9,1987,37769
9/2/1987,2,9,1987,39771
9/3/1987,3,9,1987,41771
9/4/1987,4,9,1987,43212
9/5/1987,5,9,1987,44050
9/6/1987,6,9,1987,45759
9/7/1987,7,9,1987,47733
9/8/1987,8,9,1987,49763
9/9/1987,9,9,1987,49535
9/10/1987,10,9,1987,49763
9/11/1987,11,9,1987,49763
9/12/1987,12,9,1987,49535
9/13/1987,13,9,1987,48628
9/14/1987,14,9,1987,45975
9/15/1987,15,9,1987,43212
9/16/1987,16,9,1987,41542
9/17/1987,17,9,1987,40356
9/18/1987,18,9,1987,39771
9/19/1987,19,9,1987,41094
9/20/1987,20,9,1987,44261
9/21/1987,21,9,1987,44261
9/22/1987,22,9,1987,42797
9/23/1987,23,9,1987,41243
9/24/1987,24,9,1987,40798
9/25/1987,25,9,1987,41392
9/26/1987,26,9,1987,39917
9/27/1987,27,9,1987,39917
9/28/1987,28,9,1987,41243
9/29/1987,29,9,1987,41771
9/30/1987,30,9,1987,43421
10/1/1987,1,10,1987,45759
10/2/1987,2,10,1987,47956
10/3/1987,3,10,1987,49992
10/4/1987,4,10,1987,51616
10/5/1987,5,10,1987,49763
10/6/1987,6,10,1987,44899
10/7/1987,7,10,1987,40798
10/8/1987,8,10,1987,37909
10/9/1987,9,10,1987,35562
10/10/1987,10,10,1987,33312
10/11/1987,11,10,1987,31656
10/12/1987,12,10,1987,29934
10/13/1987,13,10,1987,28274
10/14/1987,14,10,1987,27126
10/15/1987,15,10,1987,26452
10/16/1987,16,10,1987,25400
10/17/1987,17,10,1987,24200
10/18/1987,18,10,1987,23200
10/19/1987,19,10,1987,22200
10/20/1987,20,10,1987,23400
10/21/1987,21,10,1987,24300
10/22/1987,22,10,1987,24400
10/23/1987,23,10,1987,22900
10/24/1987,24,10,1987,22100
10/25/1987,25,10,1987,21900
10/26/1987,26,10,1987,22300
10/27/1987,27,10,1987,22400
10/28/1987,28,10,1987,21400
