DMI,MJO,N12,N3,N4,Q,WP,EP
0.137,1.317211936,1.25,0.875,0.295,18942.42623,88601.82787,149348.6451
-0.3925,1.097762705,-1.46,-1.875,-0.75,23349.90164,100349.8052,139142.4118
-0.687,1.040530999,-1.14,-0.575,-0.855,24355.93443,97059.12927,125247.8203
-0.458,1.068267341,-0.27,0.06,-0.055,29279.96721,106097.5658,164674.4108
0.321,1.604122638,-0.06,0.46,0.42,36383.60656,121506.9343,192967.2386
-0.705,0.993436176,1.535,0.87,0.29,19460.55738,80506.13963,129872.5799
-0.0675,1.23497005,1.095,0.755,0.055,27356.22951,106406.503,180228.0145
0.4885,1.320769625,-0.985,-0.08,0.245,26138.60656,91591.59196,149578.1589
-0.1645,1.201866183,-1.17,-0.635,0.3,32464.95082,126438.5031,183927.0701
-0.33,1.592571445,-1.665,-0.75,-0.465,25975.06557,87296.90418,141776.484
0.0535,1.96541934,2.56,1.08,0.395,19793.55738,104626.082,129071.8486
0.1435,1.473616332,2.48,0.88,-0.485,29975.85246,111289.8562,194097.5507
-0.1655,1.287577996,-0.725,-0.855,-1.02,23117.80328,94617.3327,135840.0746
0.0455,0.8513411,-0.39,-0.48,-1.1,24095.86885,106834.8758,127286.0308
0.132,1.197033805,-0.78,-0.21,-0.28,14778.44262,90759.62449,112183.9837
-0.2595,2.149092452,0.505,0.415,0.62,16929,98798.77315,122969.3248
-0.0125,1.953069736,-1.5,-0.775,0.025,19767.55738,99707.95915,142171.7303
-0.4745,1.23201852,-1.33,-0.355,0.165,23658.06557,93127.1226,158370.9402
-0.1045,1.28396535,-0.575,0.11,0.23,20336.5082,78506.55068,114203.9327
-0.133,1.117657655,-0.385,-0.045,0,22402.93443,83052.81297,112932.239
0.15,1.292522875,-1.7,-0.8,-0.075,21988.86885,73902.93549,124698.5325
0.1965,1.344730138,0.545,-0.205,-1.06,20623.18033,67355.83772,123660.2939
0.178,1.266553972,0.495,0.425,0.085,15172.44262,72621.19209,101520.3198
-0.085,1.297564325,0.125,-0.44,-0.105,31287.03279,115217.5695,179670.8702
-0.017,1.118470314,0.205,-0.205,-0.54,15197.04902,65939.59196,97709.11527
-0.1845,1.037916014,0.945,0.265,-0.455,20558.73459,115790.7886,116157.6411
-0.5015,1.210829339,-1.745,-0.855,-0.215,18400.21053,82774.49045,141868.988
-0.06,1.273966704,1.3,0.455,0.46,18727.74138,108384.7114,134119.0418
0.268,1.36178185,1.87,1.195,0.93,26664.28885,130202.4537,161862.7923
-0.278,1.453376585,0.565,-0.085,0.46,22777.36131,96878.81274,154673.9369
0.48,1.183317668,-0.015,0.175,0.255,21925.86885,83481.13369,162429.7992
0.1385,1.442134004,-0.735,-0.16,0.2,16099.11557,88827.66851,143288.3362
0.572,1.584186381,-0.07,0.35,0.575,19510.86164,92874.49295,170045.7402
NA,NA,NA,NA,NA,NA,,
