DMI,MJO,N12,N3,N4,Q,WP,EP
0.324,1.078206444,1.275,1.41,0.8,36852.86885,75443.97458,141152.8192
-0.4595,1.423620772,-1.245,-1.32,-1.28,40450.06557,61232.60812,121201.2721
-0.3185,1.16822637,-0.565,-0.35,-0.475,37894.14754,74284.0513,123589.3272
-0.264,1.103243301,-0.595,-0.01,0.305,41692.88525,70182.50619,146257.7898
0.0345,1.274040708,0.555,0.485,0.515,40985.2459,64627.79527,115902.0182
-0.73,1.184860512,0.02,-0.205,0.05,27238.96721,41121.04728,90547.62692
-0.163,0.75666215,0.465,0.225,0.16,36067.09836,58483.46261,75841.58841
0.618,1.494082817,0.325,0.235,0.615,24336.14754,34730.44439,74503.96426
-0.2735,0.851883553,-0.415,-1.02,-0.4,32427.44262,59105.97576,100015.5061
-0.91,0.980700063,-0.675,-0.545,-0.34,31129.18033,41201.18237,80037.01419
0.822,0.749797198,3.815,2.96,0.63,28432.22951,45508.23786,80296.17503
-0.6195,1.309442864,0.275,-0.97,-1.18,37001.34426,50883.67799,72889.134
-0.12,1.17705596,-0.955,-1.245,-0.97,34507.52459,57011.05478,88613.08852
-0.119,1.426553365,-0.25,-0.41,-0.57,31905.85246,48376.88231,91226.02651
-0.337,1.296494607,-1.13,-0.51,0.2,29798.72131,65006.37803,99751.95939
0.3455,0.799186627,0.285,0.925,0.63,19727.42623,42378.19092,75324.14316
-0.152,1.009498785,-0.11,0.275,0.27,30410.03279,58740.91021,117394.4465
-0.055,1.494184463,-0.06,0.495,0.695,30616.4918,59695.13925,119092.3923
-0.485,1.275991667,-1.005,-0.21,0.06,26961.18033,49862.14147,69475.68941
0.5025,1.63076819,1.01,0.855,0.66,25404.19672,51733.63728,51380.96507
0.1515,1.188732545,-1.245,-1.35,-0.75,36504.29508,58217.12848,88794.5478
0.0575,1.409536127,0.685,0.195,-0.635,31174.85246,42959.9791,67688.87441
-0.058,1.31856039,0.415,0.78,0.745,24492.19672,38521.67043,73163.17247
-0.3525,1.095437588,-1.25,-1.385,-1.525,39639.85246,50276.25421,114129.8636
0.279,1.375583719,-0.76,-0.835,-0.83,22225.08279,31266.82891,56224.31359
0.2815,1.123348271,-0.155,0.18,0.26,43909.64196,49117.42601,2806.379947
-0.239,1.200636497,-0.76,-0.26,-0.075,27746.11852,53182.59325,99713.08853
-0.002,0.82150905,0.745,0.475,0.435,33474.11197,52244.71517,78482.95686
0.3885,1.08972397,2.2,2.56,1.07,36038.9277,42500.21512,74175.24906
-0.4045,0.836702694,0.455,-0.41,-0.345,32475.37705,56969.79817,137551.9064
0.025,1.316861105,-0.81,-0.72,-0.12,34868.5082,70038.02668,129180.114
0.6445,1.22587651,0.04,0.55,0.765,33804.88525,55503.67731,82602.68874
0.9285,1.604839324,-0.725,-0.055,0.665,22956.67508,59290.35038,104300.2272
NA,NA,NA,NA,NA,NA,,
