DMI,MJO,N12,N3,N4,Q,WP,EP
0.2515,1.373478465,0.9825,1.27,0.565,42595.83607,278404.3976,454101.0978
-0.27625,1.039267082,-1.445,-1.7025,-0.8775,44741.9918,273249.9288,344446.6905
-0.44325,0.901400813,-0.705,-0.3675,-0.76,41760.94262,225937.5651,339812.2775
-0.34725,0.781720215,-0.4725,0.05,0.08,45185.45902,241300.9786,386147.3829
0.1725,1.184053401,0.41,0.595,0.4075,53512.29508,231457.8851,373088.6618
-0.73525,0.994565229,0.1675,0.085,0.205,33534.05738,178924.4325,293555.6709
-0.18375,0.939617945,0.67,0.31,0.135,46786.83607,231674.4116,367282.0635
0.5825,1.035840116,-0.74,-0.1625,0.5025,33101.9918,144707.6034,236429.8964
-0.14275,1.148852543,-0.5575,-0.7325,-0.0625,47149.11475,269398.1121,373248.448
-0.6075,1.309155467,-1.1675,-0.58,-0.405,43552.89344,178736.5534,259790.8941
0.4835,1.20546898,3.6375,2.2575,0.4775,37279.31148,206543.716,298519.0878
-0.3285,1.02317375,1.21,-0.4075,-0.8825,60125.53279,265779.7363,395999.0928
-0.015,1.06567034,-0.5375,-0.9025,-1.055,43819.21311,207806.9651,289471.6767
0.0225,1.305693491,-0.365,-0.5025,-0.6875,42506.32787,205371.8881,313451.4154
-0.13425,1.241759427,-0.85,-0.34,0.045,29956.83607,183873.3244,255628.8939
-0.093,1.433451755,0.0225,0.5825,0.63,30608.58197,234315.5241,336302.8596
0.07925,1.006085951,-0.7,-0.015,0.165,38149.31148,211981.0591,373422.2572
-0.23075,1.330900574,-0.7175,0.1025,0.47,38703.2541,206583.5455,351250.4357
-0.35975,1.05531729,-0.565,0.065,0.0075,34964.03279,189429.1698,293620.936
0.1595,1.164928475,0.415,0.305,0.3275,32002.58197,164462.2499,234350.2777
0.1365,1.195106962,-1.19,-1.03,-0.3125,44030.51639,198819.8145,307327.5399
0.16775,1.210844529,0.99,0.23,-0.8175,42024.18852,204295.5677,282637.3386
-0.07475,1.215173732,0.6875,0.7075,0.37,30587.58197,175070.5928,295784.6551
-0.11775,1.127861212,-0.8875,-1.0375,-0.9475,52188.45902,216650.7172,359522.0156
0.206,0.903878531,-0.1375,-0.33,-0.595,37186.18148,158427.1273,264969.3537
0.413,1.298351837,0.3875,0.4675,-0.09,39844.06352,224775.0133,213206.7446
-0.29525,1.150419784,-1.36,-0.6425,-0.1825,37193.85656,171602.8972,276355.7086
-0.227,1.033972787,1.0525,0.3475,0.2925,41724.46148,215247.9266,334211.7174
0.3455,1.326110542,2.165,1.9725,0.9625,42554.14754,238225.5559,340873.9326
-0.5205,1.23189985,0.425,-0.385,0.0575,42619.36885,190559.6486,376118.5564
0.33175,0.794103485,-0.4275,-0.2175,0.155,48684.34426,223640.7653,395455.3083
0.2335,1.202334338,-0.3675,0.1025,0.375,39941.1518,191741.2635,299981.073
0.63275,1.198456848,-0.625,-0.1225,0.65,27574.01992,213550.1677,321144.7349
NA,NA,NA,NA,NA,NA,,
