Year,Early,Peak,Late,Monsoon
1987,237950.473,402381.6575,216596.7938,732505.4953
1988,239492.217,414466.3741,182433.8802,617696.6193
1989,222306.9496,286444.6355,197873.3785,565749.8427
1990,270771.9766,299031.0651,216440.296,627448.3614
1991,314474.1729,300559.6642,180529.8135,604546.5468
1992,210378.7196,260832.0807,131668.6742,472480.1034
1993,286634.5175,342149.563,134325.051,598956.4751
1994,241169.7508,179922.4611,109234.4086,381137.4998
1995,310365.5732,312547.5476,159121.4819,642646.5601
1996,229073.3882,288484.072,121238.1966,438527.4475
1997,233697.9305,227514.1304,125804.4129,505062.8039
1998,305387.4069,373019.0848,123772.812,661778.8291
1999,230457.4073,303085.5871,145624.1433,497278.6418
2000,234120.9065,260316.019,139602.9088,518823.3035
2001,202943.6081,222945.6687,164758.3374,439502.2184
2002,221768.0979,331028.0435,117702.3341,570618.3837
2003,241879.6895,315583.5558,176135.3567,585403.3163
2004,251498.0628,315114.0723,178787.5315,557833.9812
2005,192710.4834,303656.9374,119337.8309,483050.1058
2006,195985.052,194851.3012,103114.6024,398812.5276
2007,198601.468,270523.2388,147011.6763,506147.3544
2008,191016.1316,282006.4922,110648.8535,486932.9063
2009,174141.5119,298335.1764,111684.8429,470855.2479
2010,294888.4397,274982.3246,164406.1178,576172.7328
2011,163648.7072,246495.6205,87491.14251,423396.481
2012,231948.4297,228460.699,51923.80596,437981.7579
2013,224643.4784,245110.6753,152895.6818,447958.6058
2014,242503.7532,302561.7974,130727.672,549459.6439
2015,292065.246,291247.7021,116675.4642,579099.4885
2016,251552.7496,286970.4944,194521.7045,566678.205
2017,245910.9329,349387.2483,199218.1407,619096.0736
2018,232116.0047,238630.7393,138106.366,491722.3365
2019,262920.2332,296159.4374,163590.5776,534694.9026
