"Year","Early","Peak","Late","Monsoon"
1987,18942.4262295082,50325.7096774194,36852.868852459,42595.8360655738
1988,23349.9016393443,51085.4677419355,40450.0655737705,44741.9918032787
1989,24355.9344262295,44962.0161290323,37894.1475409836,41760.9426229508
1990,29279.9672131148,48097.2419354839,41692.8852459016,45185.4590163934
1991,36383.606557377,57087.0967741935,40985.2459016393,53512.2950819672
1992,19460.5573770492,39107.0161290323,27238.9672131148,33534.0573770492
1993,27356.2295081967,54896.5806451613,36067.0983606557,46786.8360655738
1994,26138.6065573771,33782.2419354839,24336.1475409836,33101.9918032787
1995,32464.9508196721,54093.9032258065,32427.4426229508,47149.1147540984
1996,25975.0655737705,54029.1129032258,31129.1803278689,43552.893442623
1997,19793.5573770492,41051.4838709677,28432.2295081967,37279.3114754098
1998,29975.8524590164,71127.0806451613,37001.3442622951,60125.5327868852
1999,23117.8032786885,49597.8387096774,34507.5245901639,43819.2131147541
2000,24095.868852459,45699.1612903226,31905.8524590164,42506.3278688525
2001,14778.4426229508,31098.2419354839,29798.7213114754,29956.8360655738
2002,16929,39352.5,19727.4262295082,30608.5819672131
2003,19767.5573770492,46006.8548387097,30410.0327868852,38149.3114754098
2004,23658.0655737705,47044.2419354839,30616.4918032787,38703.2540983607
2005,20336.5081967213,41385.1290322581,26961.1803278689,34964.0327868852
2006,22402.9344262295,32098.8225806452,25404.1967213115,32002.5819672131
2007,21988.868852459,46868.7903225806,36504.2950819672,44030.5163934426
2008,20623.1803278689,48609.5806451613,31174.8524590164,42024.1885245902
2009,15172.4426229508,38068.7096774194,24492.1967213115,30587.5819672131
2010,31287.0327868852,55138.5161290323,39639.8524590164,52188.4590163934
2011,15197.0490163934,49749.0346774194,22225.0827868852,37186.1814754098
2012,20558.7345901639,41686.5619354839,43909.6419607843,39844.0635245902
2013,18400.2105263158,44006.7016129032,27746.1185245902,37193.856557377
2014,18727.7413793103,48517.8758064516,33474.1119672131,41724.4614754098
2015,26664.288852459,37433.0967741935,36038.927704918,42554.1475409836
2016,22777.3613114754,53031.4677419355,32475.3770491803,42619.368852459
2017,21925.868852459,61225.2258064516,34868.5081967213,48684.3442622951
2018,16099.1155737705,44035.5882258065,33804.8852459016,39941.1518032787
2019,19510.8616393443,32092.059516129,22956.6750819672,27574.0199180328
NA,NA,NA,NA,NA
